grupo,tipo,nombre,CODMUN,DIRECCION,info,CMUN,CDIS,dist_aeropuerto,dist_intercambiador,dist_cercanias,dist_hospital,dist_universidad,dist_gob,dist_embajada,dist_ccomercial,X,Y
Salud,Centros de Salud,Centro de Salud Torito,079,CalleCamino de los Vinateros140,CODZBS: 010201,079,14,8.67995689634846,1.0872547473995873,2.9193282556577613,2.339182305747213,4.166105666996531,3.5424623402826745,14.418080566030891,2.3482553374863535,-3.646231342318124,40.40626773266297
Salud,Centros de Salud,Centro de Salud Valdebernardo,079,BulevarIndalecio Prieto26,CODZBS: 010207,079,19,7.913174295246911,1.1415915290201475,1.8357686792166803,1.5595222081395765,13.201030097298547,0.11694918340383693,22.13350263105268,9.0969242198393,-3.622096934100187,40.40003968710298
Salud,Centros de Salud,Centro de Salud Valdezarza-Sur,079,CalleAzuaga13,CODZBS: 060301,079,09,11.674616902443324,1.9327383866244192,2.4943331679096867,0.8392670738272637,13.690018069775537,0.8161541209091558,22.537710991772855,9.78080288184484,-3.711403584504423,40.46362304945025
Salud,Centros de Salud,Centro de Salud Valle Inclán,079,CalleValle Inclán97,CODZBS: 070309,079,10,0.6534224884496351,1.5698921709924154,0.7239255690562729,1.558488709825337,23.300923593354316,0.1253258870994604,37.17243009768571,20.591561399399215,-3.77456893770928,40.376235807857526
Salud,Centros de Salud,Centro de Salud Ventura Rodríguez,079,CalleVentura Rodríguez7,CODZBS: 060303,079,09,8.008631205059746,0.712103938035378,0.6318233990715454,0.8741670331829087,4.462653447660475,2.1724060041474713,4.4790591281957814,1.0405792152095559,-3.7135128407863647,40.42525056187856
Salud,Centros de Salud,Centro de Salud Vicente Muzas,079,CalleVicente Muzas8,CODZBS: 040107,079,15,7.547483917925902,2.3566145287699034,2.432398896111473,0.16762467867467143,1.8823984133771718,3.1730246413012977,4.065521086765429,1.249899242049319,-3.661165703414529,40.45829153695572
Salud,Centros de Salud,Centro de Salud Vicente Soldevilla,079,CalleSierra de Alquife8,CODZBS: 010406,079,13,9.348412823113323,1.201198746327786,0.8095001846269511,2.2864631121021706,10.867329216035715,2.3728375778996385,18.880564264965937,9.386323609666448,-3.667108580472625,40.3889418141903
Salud,Centros de Salud,Centro de Salud Villa de Vallecas,079,CalleFuentidueña12,CODZBS: 010412,079,18,10.702379781390464,3.426062507516446,1.1508776515305839,1.0567819518559147,5.500719692899495,0.17261736384789872,13.511867258019905,9.00581620459295,-3.622166784211118,40.3717777202998
Salud,Centros de Salud,Centro de Salud Villaamil,079,CalleVillaamil19,CODZBS: 050305,079,06,11.326668687593449,1.2319396010797978,1.7322382974476618,0.8679131002390196,34.1088404334876,0.1656882577842829,26.31101560265898,22.04258845557034,-3.7063097745082905,40.457889367013934
Salud,Centros de Salud,Centro de Salud Villablanca,079,CalleVillablanca81,CODZBS: 010205,079,19,6.4764626125392635,2.416002843639301,0.5690444043190157,2.6527739225235973,35.21223512788007,0.14208673920215972,24.869207290239785,25.55466846008813,-3.5992624585224733,40.40570087789303
Salud,Centros de Salud,Centro de Salud Virgen de Begoña,079,Avenidadel Llano Castellano3,CODZBS: 050402,079,08,9.947826805364496,1.3695894236069424,0.9147629394033466,0.4126052059372184,40.19775212031474,0.17075141247916883,52.39973226832933,42.594748646571446,-3.685286763734124,40.484104456160246
Salud,Centros de Salud,Centro de Salud Virgen del Cortijo,079,AvenidaManoteras47,CODZBS: 040308,079,16,8.32149152275311,2.3901168749529917,0.3522878804353096,0.2871086974557991,15.722139974564877,0.2812724630189825,21.536581270704822,6.257233966546796,-3.6633671585000527,40.4878463564791
Salud,Centros de Salud,Centro de Salud Aravaca,079,CalleRiaza5,CODZBS: 060304,079,09,9.580650230859895,5.785407959028146,0.9165768676067139,0.6993357572728632,16.260382908361382,1.2901150809738202,22.46959726320538,7.13539357903388,-3.7816918932262897,40.45635912600398
Salud,Centros de Salud,Centro de Salud Cerro del Aire,080,AvenidaEspaña7,CODZBS: 060104,080,02,14.26600540440804,11.901405883707973,1.8941922887333724,3.0253764199194078,16.333016207605944,1.273842487823011,22.552575509834302,7.051657318220353,-3.8683715290437863,40.47703750123116
Salud,Centros de Salud,Centro de Salud Valle de la Oliva,080,CalleEnrique Granados2,CODZBS: 060104,080,02,11.611632649958556,9.566776489189989,3.2313639782629395,0.7521744680709234,15.724090023702212,0.7115643626876301,22.04230320485894,7.022240245840592,-3.8649915316356696,40.448991065872335
Salud,Centros de Salud,Centro de Salud Manzanares el Real,082,CalleCañada de los Toros8,CODZBS: 050202,082,01,38.71516667882782,32.43091144329783,11.8458057014974,14.42491238468788,0.6107450485096695,0.208421070516679,25.25284607731149,5.9679671904016365,-3.8619862505708857,40.72981543153591
Salud,Centros de Salud,Centro de Salud Meco,083,CaminoVirgen de la Cabeza6,CODZBS: 030110,083,01,12.884830423356885,22.43045282547206,3.177666529912667,4.7454758528648595,0.6729606579889246,0.19222528639179834,25.122040869494143,5.787485366716242,-3.329714965383015,40.55070297271706
Salud,Centros de Salud,Centro de Salud Mejorada del Campo,084,CalleCiudad de París22,CODZBS: 020107,084,01,9.337193936259798,11.022191473395804,6.410542427752846,4.8675592764704625,1.9429786066077575,1.6221799132020267,24.068537593483274,4.295772637102166,-3.482481697847678,40.39712091103715
Salud,Centros de Salud,Centro de Salud Alcalde Bartolomé González,092,Callede la Independencia8,CODZBS: 080109,092,03,9.094813267680266,11.066260832385238,0.6201026629441235,1.0612377985297148,1.4318727112569385,0.9574379819737703,25.50833776840349,5.471742209105142,-3.862275265409374,40.32303803160951
Salud,Centros de Salud,Centro de Salud Barcelona,092,CalleBarcelona31,CODZBS: 080105,092,03,8.383148421344282,10.365592199547695,0.8485085103088827,1.2709259006794096,19.611217824452464,0.44389843816116104,36.678592693902516,21.515486347754937,-3.8544580860402182,40.325717696861005
Salud,Centros de Salud,Centro de Salud Dr. Luengo Rodríguez,092,CalleNueva York16,CODZBS: 080107,092,04,9.193730537251724,11.212059234603675,1.4507723746761512,0.23021255030100093,19.90042733972902,0.222744208986113,36.86311231493272,21.769297814282755,-3.857048847250051,40.31650020270213
Salud,Centros de Salud,Centro de Salud Dos de Mayo,092,CalleCoronel de Palma1,CODZBS: 080108,092,04,10.024596283069137,11.972542875283937,1.2731201545166901,0.5900030708098124,20.114272378537613,0.4217122406730686,36.87487409529137,21.83226410260011,-3.871778502756288,40.318804582411616
Salud,Centros de Salud,Centro de Salud El Soto,092,AvenidaOlímpica38,CODZBS: 080102,092,01,10.23426413956004,11.871854581181392,0.23961945664017045,1.506054048123482,20.001574948972156,0.10848971007814605,36.98687848862964,21.79569898149565,-3.882513570532294,40.32882240616978
Salud,Centros de Salud,Centro de Salud Felipe II,092,AvenidaFelipe II10,CODZBS: 080106,092,03,8.690345058295033,10.701634891993882,1.2356075902698747,0.723900143270286,19.566447213590713,0.4850550455849628,36.65083346175004,21.475541805186026,-3.853685839355982,40.32048008287335
Salud,Centros de Salud,Centro de Salud La Princesa,092,CalleSevero Ochoa4,CODZBS: 080104,092,02,8.433738955108462,10.33047859627267,0.4431995799842169,1.4327916292911158,14.052204722241092,1.0533318855541638,16.464492506092906,0.23270449473723342,-3.858841602338544,40.329802403264786
Salud,Centros de Salud,Centro de Salud Parque Coimbra,092,Avenidade los Sauces57,CODZBS: 080110,092,01,14.972165572609514,16.534992219804252,4.86091405102481,4.678313000901965,15.269682009603146,1.3638582453479369,16.74439661373911,0.4954059251278507,-3.9319755116577295,40.30898378822888
Salud,Centros de Salud,Centro de Salud Presentación Sabio,092,CalleAlonso Cano8,CODZBS: 080103,092,02,9.041355425242097,10.717712794331462,0.7581066430564367,0.63474706165250006,13.221702472455126,2.280096710409878,15.258363546520979,1.497794188471516,-3.869848619639123,40.33350398092725
Salud,Centros de Salud,Centro de Salud Navalcarnero,096,Callede la Doctora10,CODZBS: 080304,096,01,22.20078630140239,23.54609808849659,12.090476731016041,11.96669506458436,12.955397975776858,1.9164255224309243,15.63655712419117,1.2582332543309533,-4.014563946159383,40.29011757905757
Salud,Centros de Salud,Centro de Salud Navas del Rey,099,Avenidade Madrid76,CODZBS: 080302,099,01,40.510920408966996,40.50218296523769,15.32071365027027,15.17351377604821,12.928976353252505,1.9009615496745738,15.658337227573455,1.257405582321476,-4.252692998226252,40.383044560019925
Salud,Centros de Salud,Centro de Salud Paracuellos del Jarama,104,CalleChorrillo Alta26,CODZBS: 050108,104,01,6.151052733185363,5.281937551368233,5.372822769610796,7.728060795139578,13.221702472455126,2.280096710409878,15.258363546520979,1.497794188471516,-3.5323995549648717,40.50652379153583
Salud,Centros de Salud,Centro de Salud Isabel II,106,CalleIsabel II15,CODZBS: 100103,106,01,15.118851529077665,14.320612213368697,0.8062719829451457,2.384673502101896,13.022973806510489,0.8987420759178889,14.949005543039046,0.8572049553265327,-3.764841635825459,40.234603958117205
Salud,Centros de Salud,Centro de Salud Las Américas,106,AvenidaAmérica6,CODZBS: 100103,106,01,15.770444845707834,14.827524228091503,1.4665171895209062,2.091690909991986,6.584225684891939,3.5044243553715497,15.108369508109748,1.534350773830242,-3.762649206127689,40.22883445098442
Salud,Centros de Salud,Centro de Salud Los Pintores,106,CalleProlongación Cuenca0,CODZBS: 100102,106,01,14.076278684498812,13.34994284006147,0.5579954651883323,3.2875986461242723,6.378939362712633,2.95996433612304,15.080329879917226,1.0074282813894788,-3.7640542211408374,40.24403288192401
Salud,Centros de Salud,Centro de Salud San Blas,106,CalleSan Blas24,CODZBS: 100104,106,01,14.366198396422243,14.039430656268514,0.41762285695322865,2.6547069228969384,6.872097804888179,3.6726796703402034,15.360842799374412,1.6001144242760446,-3.774214774685196,40.241163465967325
Salud,Centros de Salud,Centro de Salud Perales de Tajuña,110,AvenidaPaz5,CODZBS: 010102,110,01,28.4033034426784,30.544802181669155,23.38880028288156,11.498052093803487,3.7332633091655736,0.7759804530512989,6.4655900602874015,0.6856145141688428,-3.3516961245161636,40.231686695986845
Salud,Centros de Salud,Centro de Salud Parque de Europa,113,PlazaDavid Martín3,CODZBS: 100105,113,02,14.841202972578484,11.05544550167938,1.2285839391684756,5.869259018975418,7.113163686086079,1.0930798596639726,8.984430354985477,1.4768127783810174,-3.6948943598180266,40.25158899036523
Salud,Centros de Salud,Centro de Salud Pinto,113,Calledel Marqués0,CODZBS: 100105,113,02,15.695250808077875,12.121199992385197,0.5166267867915059,4.80527490907835,6.439128507245561,1.5112130147815004,8.133085410028537,1.4494104342280065,-3.697595519182459,40.242056092870094
Salud,Centros de Salud,Centro de Salud Pozuelo-Centro/S. Juan de la Cruz,115,CalleSan Juan de la Cruz4,CODZBS: 060102,115,01,7.498458743390066,5.017732480126279,2.2449784174985474,3.1534966936268414,16.465038340580406,0.5308296240490665,32.904527776025255,18.683630082930097,-3.814592094503453,40.43058252806833
Salud,Centros de Salud,Centro de Salud Pozuelo-Estación,115,Callede la Emisora5,CODZBS: 060102,115,02,7.972770339222216,5.197962680804265,0.9717715676837169,3.0358007167809538,9.98120437491209,0.38721797864384466,12.49557718623621,6.280694397605652,-3.802347669695656,40.43891137602484
Salud,Centros de Salud,Centro de Salud Somosaguas,115,CallePlasencia c\v Calle Extremadura0,CODZBS: 060102,115,01,4.560527298788669,1.6533501270158533,3.2403051740029953,1.0568682879569027,1.8818019175819327,0.09849976323811359,21.0862778200174,2.0794606103486935,-3.7817563773812193,40.41102544803708
Salud,Centros de Salud,Centro de Salud Rascafría,120,AvenidaRibera de Artiñuelo2,CODZBS: 050112,120,01,55.51087849441123,50.59261318656807,11.478398074609068,22.79109814978636,1.8618381239963468,0.05089360008384329,21.107301474910226,2.0267119431883187,-3.878003713924888,40.902123935956006
Salud,Centros de Salud,Centro de Salud La Paz-Rivas,123,AvenidaParque de Asturias0,CODZBS: 010105,123,01,10.82476017643754,8.36390657004937,5.649870793879814,6.177345043795483,11.85709919043482,0.3377204090314351,24.579782842351033,13.80434158050167,-3.5492168588210835,40.364327222859195
Salud,Centros de Salud,Centro de Salud Santa Monica,123,CalleAcacias120,CODZBS: 010105,123,01,11.553893154926412,9.71430937789967,6.949034696175069,6.461464180219186,1.8855107870697494,2.054865596502839,14.17490139338131,1.1399330613806766,-3.5339330133659757,40.3603356566302
Salud,Centros de Salud,Centro de Salud Primero de mayo,123,Avda.Velázquez7,CODZBS: 010105,123,01,14.096922234628531,11.842116666298136,9.109263540015649,7.227251389368835,3.8462604821933795,2.2306640820983388,15.829893926937222,2.148986849818835,-3.521440485673447,40.33932915540373
