CODBDT,GEOCODIGO,DESBDT,area,X,Y
686319,107,Griñón,130918127.519093,-3.8193631735467717,40.19486399613907
686320,108,Guadarrama,57286064.9596949,-4.110042575306025,40.67731065730384
686321,109,Guayaba,782309.573321762,-3.743172668754115,40.37640520034192
686322,110,Guzmán el Bueno,644215.54589535,-3.7113678415813993,40.43097529620611
686323,111,Huerta de Los Frailes,10403950.640926,-3.7734540785518567,40.31047966214759
686324,112,Humanes de Madrid,50877048.9574066,-3.8589565492816233,40.25541773464929
686325,113,Ibiza,2731037.28057185,-3.6813884635757192,40.41479288219154
686326,114,Imperial,968324.20095283,-3.7183198531078308,40.40618968442981
686327,115,Infanta Mercedes,508505.498557225,-3.6969840657854647,40.454391138578536
686328,116,Isabel II,2726568.30358801,-3.754135203462731,40.23575366389879
686329,117,Jazmín,1674017.03470593,-3.668014875578318,40.4748482389262
686330,118,Juan de Austria,6031675.03566793,-3.3148842831563163,40.50940609323543
686331,119,Juan de la Cierva,20981146.3666731,-3.714592087938795,40.29104148219021
686332,120,Justicia,512326.64964098,-3.6972938203879133,40.42479112942397
686333,121,La Cabrera,228243524.603294,-3.660882370929985,40.89391784449376
686334,122,La Elipa,380056.776345903,-3.6498105352211523,40.427148949907775
686335,123,La Garena,17069020.2189585,-3.412423100036214,40.497891032021876
686336,124,La Marazuela,8997541.12087584,-3.8517612007348903,40.492995055011384
686337,125,La Moraleja,25574890.8916936,-3.603512175799838,40.521907865439964
686338,126,La Plata,3463767.69788952,-3.4504426883565453,40.457758096802344
686339,127,La Princesa,686032.330721456,-3.8616247822107588,40.33035170052639
686340,128,La Ribota,1364369.52777703,-3.838025382843571,40.33910462784554
686341,129,La Ventilla,999878.386072255,-3.6943055877587763,40.470661724887016
686342,130,La Veredilla,510584.718444241,-3.472727751808066,40.46186677761317
686343,131,Las Águilas,6924434.87909724,-3.7799441192298944,40.370919343847696
686344,132,Las Américas,10261640.7951951,-3.7590309295376083,40.218822735625395
686345,133,Las Calesas,902825.792123348,-3.7068069680908713,40.38899058874643
686346,134,Las Ciudades,820981.305776313,-3.713581456451744,40.313999615323574
686347,135,Las Fronteras,4074238.31195125,-3.4857647197039143,40.4683115041803
686348,136,Las Margaritas,1788154.72449873,-3.7280999900971072,40.31700409778766
686349,137,Las Matas,7951396.53163446,-3.8845350858833245,40.55006034865304
686350,138,Las Olivas,2330024.96763214,-3.6137245116138423,40.02616437815577
686351,139,Las Rozas,15354532.3050524,-3.8781920915957557,40.50977188487971
686352,140,Las Tablas,5894741.54330622,-3.6729321789068203,40.50373169292656
686353,141,Lavapiés,505064.856488711,-3.704778881170833,40.408186972940655
686354,142,Leganés Norte,1024852.58039758,-3.7475760737485166,40.34392696697038
686355,143,Legazpi,1625284.2476437,-3.687873113432053,40.38964886932892
686356,144,Londres,552743.167964882,-3.665624581223898,40.43266937966245
686357,145,Los Alperchines,37859283.2235745,-3.483754776448623,40.43647035509464
686358,146,Los Ángeles,1936574.38934075,-3.6991386551553735,40.355799523752886
686359,147,Los Castillos,2772634.40986231,-3.8073462416034003,40.357175342261534
686360,148,Los Cármenes,1597376.52601949,-3.7382165916612777,40.39921706366989
686361,149,Los Fresnos,4315603.55926408,-3.477447684965585,40.443158925308474
686362,150,Los Pedroches,541806.284497885,-3.7527929178885,40.336865739151015
686363,151,Los Rosales,712586.498810878,-3.6876496458237935,40.35184664196491
686364,152,Los Yébenes,1486810.28716023,-3.752599963318917,40.39016014267042
686365,153,Lucero,1665138.192018,-3.749819038775747,40.40312244725048
686366,154,Luis Vives,1368811.97139383,-3.3667570851548603,40.47168001581293
686367,155,Majadahonda,30837795.9886296,-3.9043078732633534,40.4713842548215
686368,156,Manuel Merino,462730.319989937,-3.3590596327500686,40.48161143419661
686369,157,Manzanares El Real,167919762.549903,-3.888612623326315,40.73995230121738
686370,158,Maqueda,1231421.77241732,-3.7629227874391247,40.3939851582637
686371,159,Mar Báltico,15368327.1050776,-3.6247456859270484,40.487231008786104
686372,160,Marqués de la Valdavia,1103117.26373046,-3.650244471024812,40.54440481390944
686373,161,Martín de Vargas,305113.60444963,-3.7034958161915834,40.402449587326885
686374,162,Martínez de la Riva,431338.843838864,-3.666013775271551,40.39408265314489
686375,163,María Curie,2491707.90247202,-3.770003704787648,40.35498069795323
686376,164,María Montessori,6708530.0644609,-3.736871755389714,40.349758258908146
686377,165,María de Guzmán,4387189.09126047,-3.332627088200062,40.50766938377233
686378,166,Meco,123832480.140163,-3.323277220408293,40.55603065044396
686379,167,Media Legua,1416620.8476141,-3.6559450520693897,40.410354321167375
686380,168,Mejorada del Campo,76676559.2772007,-3.442071272146309,40.38311085154773
686381,169,Mendiguchía Carriche,2967108.69334571,-3.7466835880520275,40.32769751636381
686382,170,Miguel Servet,17883271.3514071,-3.843895066297506,40.36807678391524
686383,171,Miguel de Cervantes,14391145.7193567,-3.3527423910417444,40.51487164171947
686384,172,Miraflores,673170.955047432,-3.63781356971505,40.547185733463515
686385,173,Mirasierra,6910982.60247263,-3.719313678112815,40.49637294269762
686386,174,Monforte de Lemos,320266.061845567,-3.7137953918032025,40.474835012900044
686387,175,Monovar,1746629.81293465,-3.6586081763142286,40.47477732690763
686388,176,Montecarmelo,26373907.4922109,-3.6999278910504025,40.53429276919346
686389,177,Monterrozas,25992307.2648842,-3.9163401791533787,40.53020705504972
686390,178,Montesa,608838.03021469,-3.673205889605767,40.433517011919704
686391,179,Moralzarzal,43647370.4711136,-3.946950967153439,40.66467503007114
686392,180,Morata de Tajuña,45538641.2539163,-3.447842400135626,40.23096457600184
686393,181,María Jesús Hereza,17468128.8797007,-3.7910870756403865,40.33147624610193
686394,182,Méndez Álvaro,1392343.02798917,-3.6841518914188494,40.398683646086816
686395,183,Navalcarnero,186167962.09701,-4.047589483197082,40.28307416398208
686396,184,Navas del Rey,125469836.350228,-4.227996232949143,40.38957250492941
686397,185,Nuestra Señora del Pilar,9072998.48704829,-3.3859349910390217,40.4618129350234
686398,186,Numancia,965772.310344382,-3.659601442681879,40.401806974454225
686399,187,Nuñez Morgado,2786351.28517563,-3.680136474725183,40.47211298976028
686400,188,Opañel,623385.21377864,-3.723801551240388,40.38820702661664
686401,189,Orcasitas,1314235.60496159,-3.7125111617307014,40.368654454944725
686402,190,Orcasur,1423084.54903837,-3.6982266017664815,40.37215495104127
686403,191,Pacífico,813312.522000528,-3.6780269737650353,40.40644546325252
686404,192,Palma Universidad,565368.189134308,-3.7058814705549037,40.42594908857963
686405,193,Palomares,696906.237210919,-3.762016616507301,40.33353328683023
686406,194,Panaderas,20864833.8265551,-3.7755269074744424,40.26945272361539
686407,195,Paracuellos del Jarama,43812815.4424346,-3.5246434944227563,40.5143374265637
686408,196,Parque Coimbra,3641611.99616444,-3.9324966177383636,40.30859670610367
686409,197,Parque Europa,30038715.891612,-3.6621678310594143,40.260381308539145
