mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,110,Francia,28014,Arganda del Rey,329,014,329
2019-07,115,Italia,28014,Arganda del Rey,106,014,106
2019-07,117,Luxemburgo,28014,Arganda del Rey,55,014,55
2019-07,121,Países Bajos,28014,Arganda del Rey,289,014,289
2019-07,123,Portugal,28014,Arganda del Rey,70,014,70
2019-07,125,Reino Unido,28014,Arganda del Rey,101,014,101
2019-07,126,Alemania,28014,Arganda del Rey,129,014,129
2019-07,128,Rumania,28014,Arganda del Rey,158,014,158
2019-07,131,Suecia,28014,Arganda del Rey,54,014,54
2019-07,302,EE.UU.,28014,Arganda del Rey,120,014,120
2019-07,340,Argentina,28014,Arganda del Rey,30,014,30
2019-07,000,Total,28015,Arroyomolinos,891,015,891
2019-07,010,Total Europa,28015,Arroyomolinos,562,015,562
2019-07,011,Total Unión Europea,28015,Arroyomolinos,507,015,507
2019-07,030,Total América,28015,Arroyomolinos,47,015,47
2019-07,040,Total Asia,28015,Arroyomolinos,270,015,270
2019-07,102,Austria,28015,Arroyomolinos,66,015,66
2019-07,110,Francia,28015,Arroyomolinos,155,015,155
2019-07,121,Países Bajos,28015,Arroyomolinos,91,015,91
2019-07,123,Portugal,28015,Arroyomolinos,33,015,33
2019-07,125,Reino Unido,28015,Arroyomolinos,40,015,40
2019-07,126,Alemania,28015,Arroyomolinos,73,015,73
2019-07,407,China,28015,Arroyomolinos,263,015,263
2019-07,000,Total,28016,"Atazar, El",67,016,67
2019-07,010,Total Europa,28016,"Atazar, El",57,016,57
2019-07,011,Total Unión Europea,28016,"Atazar, El",54,016,54
2019-07,000,Total,28017,Batres,47,017,47
2019-07,010,Total Europa,28017,Batres,40,017,40
2019-07,011,Total Unión Europea,28017,Batres,37,017,37
2019-07,000,Total,28018,Becerril de la Sierra,92,018,92
2019-07,010,Total Europa,28018,Becerril de la Sierra,71,018,71
2019-07,011,Total Unión Europea,28018,Becerril de la Sierra,62,018,62
2019-07,000,Total,28019,Belmonte de Tajo,75,019,75
2019-07,010,Total Europa,28019,Belmonte de Tajo,68,019,68
2019-07,011,Total Unión Europea,28019,Belmonte de Tajo,56,019,56
2019-07,000,Total,28021,"Berrueco, El",198,021,198
2019-07,010,Total Europa,28021,"Berrueco, El",177,021,177
2019-07,011,Total Unión Europea,28021,"Berrueco, El",165,021,165
2019-07,110,Francia,28021,"Berrueco, El",39,021,39
2019-07,126,Alemania,28021,"Berrueco, El",50,021,50
2019-07,000,Total,28022,Boadilla del Monte,2545,022,2545
2019-07,010,Total Europa,28022,Boadilla del Monte,2041,022,2041
2019-07,011,Total Unión Europea,28022,Boadilla del Monte,1722,022,1722
2019-07,030,Total América,28022,Boadilla del Monte,370,022,370
2019-07,031,Total América del Norte,28022,Boadilla del Monte,233,022,233
2019-07,033,Total Sudamérica,28022,Boadilla del Monte,133,022,133
