CMUN,dist,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,X,Y,densidad_hab_km,area_km2
007,01,19,40.904350177293736,31586,0.5098699867029697,0.4901300132970303,0.17602696764389286,0.6600037548280884,0.16396783068448048,0.16007548280883935,0.2327286424365225,0.055170429937314,0.04442678401823593,0.38418312860127907,0.14227224403216615,0.5304098018109289,0.61300636991072,-3.844486706088623,40.366026271788854,1392.4079599255504,22.684443718411988
007,02,37,45.84425883776247,48768,0.5276397453248032,0.4723602546751969,0.13623898868110237,0.6154037709153544,0.24836890789041996,0.06816554297900262,0.11318729084645669,0.06959557906824146,0.05461468175853019,0.43469731381233595,0.11520343873031495,0.47278417814960627,0.5333161068733596,-3.8084514736726653,40.35478448600702,13065.452391079623,3.7325917649277973
007,03,29,48.67984787795576,32775,0.527090468344775,0.472909531655225,0.11484499466056446,0.5554535621662853,0.3296987551487414,0.1276254004576659,0.1746506788710908,0.041477449275362316,0.029979185354691077,0.29590043325705573,0.14325089855072465,0.40809642105263155,0.47688572082379865,-3.815548232798186,40.34306209073186,21690.00682907126,1.51106453115872
007,04,35,41.47208080621429,58446,0.5142876415836841,0.48571235841631594,0.17726387947849298,0.644620940697396,0.17811451083051022,0.0955190859939089,0.14538499469595864,0.053036774116278274,0.03980629983232385,0.38371525852924065,0.12904399103445915,0.5519713752865893,0.6277406015809465,-3.8329699313329813,40.33461603205787,10292.00680499435,5.678775879903053
008,01,1,42.3207,3078,0.4899,0.5101,0.178,0.6313,0.1907,0.1628,0.1878,0.0344,0.0245,0.22449999999999998,0.20279999999999998,0.44899999999999995,0.5632,-4.223782566860321,40.30926740828864,59.56478815396063,51.67482493254423
009,01,9,39.85820684891809,20704,0.5094247729907264,0.4905752270092736,0.17713068489180833,0.6895596889489953,0.13330534196290572,0.11217029076506956,0.1725384563369397,0.07715482515455951,0.0605493865919629,0.40455891132148375,0.10367784486089644,0.5341627125193199,0.5973146155332303,-3.5299276364910743,40.608218157056484,545.5445475722921,37.95107125922918
010,01,8,40.574972638028726,15178,0.5095978785083675,0.49040212149163265,0.1794548161813151,0.6811852879167216,0.13935584398471473,0.09019803004348398,0.13591695875609436,0.07535910528396364,0.05609451179338516,0.5401626564764791,0.1091547173540651,0.5449263407563579,0.6118953682962183,-4.020814215631895,40.6618418174609,1198.0854914732286,12.668545031236741
011,01,1,45.5249,663,0.4991999999999999,0.5008,0.1357,0.6561,0.2081,0.187,0.2021,0.0157,0.012200000000000003,0.23209999999999997,0.2484,0.4171,0.555,-3.176684203863506,40.340776229675775,25.682296012957075,25.815448886092867
012,01,1,39.2952,1365,0.4842,0.5158,0.1978,0.6696,0.1326,0.0989,0.11360000000000002,0.0557,0.0466,0.2922,0.1545,0.5397,0.6384,-3.276866225915073,40.46646425785261,62.780195994983615,21.742525303824614
013,01,9,42.0042264908335,14673,0.5182340693791317,0.48176593062086825,0.17617420432086145,0.6371633203843795,0.18666914059837797,0.15860414366523545,0.18680990935732297,0.05389065630750358,0.04168970898930008,0.36447459278947725,0.1700310093368773,0.46546190962993256,0.558819655148913,-3.589341469202484,40.03580360594406,10018.557152263536,1.4645821525991758
