mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target,is_train
2021-02,412,Iraq,28079,Madrid,42,079,42,TRUE
2019-10,348,Peru,28065,Getafe,40,065,40,TRUE
2020-02,302,EE.UU.,28134,San Sebastián de los Reyes,126,134,126,TRUE
2021-10,115,Italia,28061,Galapagar,30,061,30,TRUE
2020-12,000,Total,28155,Valdaracete,48,155,48,TRUE
2019-10,315,Cuba,28079,Madrid,61,079,61,TRUE
2021-04,110,Francia,28075,Loeches,78,075,78,TRUE
2020-02,427,Qatar,28079,Madrid,694,079,694,TRUE
2021-02,000,Total,28073,Humanes de Madrid,186,073,186,TRUE
2019-08,030,Total América,28092,Móstoles,375,092,375,TRUE
2022-07,011,Total Unión Europea,28014,Arganda del Rey,1900,014,1900,TRUE
2019-08,228,Marruecos,28009,Algete,32,009,32,TRUE
2020-10,110,Francia,28083,Meco,101,083,101,TRUE
2022-07,407,China,28079,Madrid,2819,079,2819,TRUE
2022-09,126,Alemania,28130,San Fernando de Henares,340,130,340,TRUE
2020-08,000,Total,28150,Torrejón de Velasco,145,150,145,TRUE
2019-10,000,Total,28154,Torres de la Alameda,285,154,285,TRUE
2020-08,110,Francia,28901,Lozoyuela-Navas-Sieteiglesias,31,901,31,TRUE
2021-03,107,Dinamarca,28127,"Rozas de Madrid, Las",182,127,182,TRUE
2020-04,110,Francia,28065,Getafe,404,065,404,TRUE
2022-02,010,Total Europa,28097,Navarredonda y San Mamés,35,097,35,TRUE
2021-11,228,Marruecos,28106,Parla,125,106,125,TRUE
2019-07,010,Total Europa,28119,Quijorna,83,119,83,TRUE
2020-04,128,Rumania,28005,Alcalá de Henares,122,005,122,TRUE
2022-05,010,Total Europa,28176,Villanueva de la Cañada,1653,176,1653,TRUE
2021-06,000,Total,28019,Belmonte de Tajo,32,019,32,TRUE
2022-08,117,Luxemburgo,28079,Madrid,1631,079,1631,TRUE
2019-07,228,Marruecos,28132,San Martín de la Vega,41,132,41,TRUE
2021-09,131,Suecia,28106,Parla,69,106,69,TRUE
2021-02,010,Total Europa,28096,Navalcarnero,480,096,480,TRUE
2020-01,010,Total Europa,28089,Moraleja de Enmedio,121,089,121,TRUE
2022-06,011,Total Unión Europea,28085,Miraflores de la Sierra,83,085,83,TRUE
2022-02,011,Total Unión Europea,28067,Guadalix de la Sierra,101,067,101,TRUE
2019-09,030,Total América,28086,"Molar, El",46,086,46,TRUE
2019-12,011,Total Unión Europea,28031,Cadalso de los Vidrios,31,031,31,TRUE
2020-12,031,Total América del Norte,28113,Pinto,32,113,32,TRUE
2019-08,031,Total América del Norte,28065,Getafe,296,065,296,TRUE
2022-07,115,Italia,28079,Madrid,21199,079,21199,TRUE
2020-11,435,Tailandia,28079,Madrid,30,079,30,TRUE
2021-03,110,Francia,28006,Alcobendas,810,006,810,TRUE
2019-11,000,Total,28013,Aranjuez,1788,013,1788,TRUE
2022-10,117,Luxemburgo,28079,Madrid,2915,079,2915,TRUE
2019-08,123,Portugal,28148,Torrejón de Ardoz,107,148,107,TRUE
2021-03,121,Países Bajos,28040,Ciempozuelos,96,040,96,TRUE
2021-02,000,Total,28066,Griñón,115,066,115,TRUE
2020-10,115,Italia,28106,Parla,59,106,59,TRUE
2022-09,030,Total América,28065,Getafe,869,065,869,TRUE
2020-05,010,Total Europa,28080,Majadahonda,1031,080,1031,TRUE
2022-10,122,Polonia,28058,Fuenlabrada,117,058,117,TRUE
2021-05,011,Total Unión Europea,28136,Santorcaz,33,136,33,TRUE
2021-03,110,Francia,28127,"Rozas de Madrid, Las",655,127,655,TRUE
2022-04,407,China,28106,Parla,155,106,155,TRUE
2019-10,228,Marruecos,28096,Navalcarnero,59,096,59,TRUE
2022-04,031,Total América del Norte,28009,Algete,41,009,41,TRUE
2022-01,126,Alemania,28083,Meco,49,083,49,TRUE
2019-09,010,Total Europa,28066,Griñón,158,066,158,TRUE
2021-01,143,República Checa,28079,Madrid,170,079,170,TRUE
2022-08,030,Total América,28104,Paracuellos de Jarama,237,104,237,TRUE
2019-10,011,Total Unión Europea,28021,"Berrueco, El",51,021,51,TRUE
2020-01,110,Francia,28137,"Santos de la Humosa, Los",33,137,33,TRUE
2020-02,000,Total,28093,Navacerrada,101,093,101,TRUE
2021-11,000,Total,28038,Cercedilla,126,038,126,TRUE
2020-09,121,Países Bajos,28062,Garganta de los Montes,41,062,41,TRUE
2022-02,010,Total Europa,28106,Parla,1293,106,1293,TRUE
2020-04,010,Total Europa,28010,Alpedrete,131,010,131,TRUE
2021-07,420,Libano,28079,Madrid,102,079,102,TRUE
2022-08,020,Total África,28123,Rivas-Vaciamadrid,47,123,47,TRUE
2021-12,011,Total Unión Europea,28118,Puebla de la Sierra,49,118,49,TRUE
2020-02,139,Georgia,28079,Madrid,209,079,209,TRUE
2020-07,102,Austria,28123,Rivas-Vaciamadrid,69,123,69,TRUE
2022-05,128,Rumania,28007,Alcorcón,89,007,89,TRUE
2020-01,103,Bélgica,28007,Alcorcón,123,007,123,TRUE
2022-02,115,Italia,28073,Humanes de Madrid,92,073,92,TRUE
2019-11,115,Italia,28009,Algete,41,009,41,TRUE
2021-01,040,Total Asia,28134,San Sebastián de los Reyes,41,134,41,TRUE
2020-08,011,Total Unión Europea,28007,Alcorcón,2130,007,2130,TRUE
2022-04,126,Alemania,28168,"Vellón, El",32,168,32,TRUE
2021-03,000,Total,28033,Campo Real,119,033,119,TRUE
2021-06,142,Lituania,28079,Madrid,247,079,247,TRUE
2021-11,011,Total Unión Europea,28029,Cabanillas de la Sierra,43,029,43,TRUE
2022-09,115,Italia,28061,Galapagar,39,061,39,TRUE
2021-03,302,EE.UU.,28115,Pozuelo de Alarcón,145,115,145,TRUE
2019-07,121,Países Bajos,28022,Boadilla del Monte,391,022,391,TRUE
2019-11,121,Países Bajos,28104,Paracuellos de Jarama,64,104,64,TRUE
2022-08,103,Bélgica,28148,Torrejón de Ardoz,52,148,52,TRUE
2022-10,426,Pakistan,28079,Madrid,143,079,143,TRUE
2022-03,115,Italia,28903,Tres Cantos,62,903,62,TRUE
