anyo,mun_dest,receptor,Andalucía,Aragón,"Asturias, Principado de","Balears, Illes",Canarias,Cantabria,Castilla - La Mancha,Castilla y León,Cataluña,Ceuta,Comunitat Valenciana,Extremadura,Galicia,"Madrid, Comunidad de",Melilla,"Murcia, Región de","Navarra, Comunidad Foral de",País Vasco,"Rioja, La",comercio,hosteleria,turismo,cluster
2019,Madrid,2602822,854.184,163.653,177.368,125.852,186.808,88.249,1183.642,738.772,525.048,712.229,615.449,204.37199999999999,354.562,0,969.508,163.752,85.448,244.093,46.747,4,4,4,4
2019,Majadahonda,20486,8.958,1460,2750,1162,1037,1246,11.504,10.584,3128,0,1515.438,2056,3966,0,0,1641,626,1944,298,3,3,4,3
2019,Manzanares el Real,1675,972,33,218,0,36,66,1300,1017,417,0,724,157,422,0,0,107,0,178,0,3,3,3,2
2019,Meco,4379,1837,1000,107,31,0,108,38.282,932,1109,0,1412,369,844,0,0,299,270,246,37,5,3.5,3,2
2019,Mejorada del Campo,3878,2581,670,496,264,337,171,8.929,2204,1112,31,3365,935,876,0,36,770,34,422,0,3,3.5,1,2
2019,Miraflores de la Sierra,1170,462,62,83,0,0,0,2949,1345,304,0,542,67,106,0,0,32,0,72,0,2,3,3,2
2019,"Molar, El",2809,1219,187,132,0,66,384,8.867,1646,1763,0,1044,209,620,0,0,290,0,1187,0,3,3,3,2
2019,"Molinos, Los",414,655,0,39,0,0,0,669,1000,320,0,620,0,349,0,0,36,0,34,0,4,4,2,2
2019,Montejo de la Sierra,666,0,0,0,0,0,0,900,63,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2
2019,Moraleja de Enmedio,951,1115,139,204,0,33,41,9.46,1007,200,0,850,561,356,0,0,269,33,209,31,3,4.5,3,2
2019,Moralzarzal,1381,1232,283,395,40,231,30,1049,1455,540,0,1228,350,676,0,0,126,0,184,0,3,3,2,2
2019,Morata de Tajuña,843,583,0,0,0,0,0,1721,157,260,0,649,31,31,0,0,33,0,30,0,2.5,3,3,2
2019,Móstoles,24712,16.576999999999998,2289,3113,1641,2160,1170,90.52799999999999,28.169,1661.556,0,15.165,14.933,1257.327,0,101,3367,736,2062,572,3,3,4,1
2019,Navacerrada,869,754,0,100,0,0,0,902,716,317,0,474,31,269,0,0,0,0,44,0,4,4,4,2
2019,Navalafuente,379,0,0,0,0,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2
2019,Navalagamella,345,48,0,0,0,0,0,313,286,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2
2019,Navalcarnero,4094,3473,620,650,224,225,324,25.65,2749,1245,0,2879,3101,1144,0,0,630,170,517,36,3,3,3,2
2019,Navas del Rey,298,109,0,0,0,0,0,1097,1477,0,0,72,0,0,0,0,0,0,0,0,3,5,3,2
2019,Nuevo Baztán,761,407,0,31,0,0,0,2051,271,159,0,352,0,59,0,0,37,0,31,0,3,3,2.5,2
2019,Paracuellos de Jarama,10925,4482.03,1088,1404,1529,1982,557,8.100999999999999,3510,4293,0,4349,760,3840,0,0,1030,992,2660,299,3,3,3,3
2019,Parla,18987,9.35,1253,1595,800,872,752,72.288,1786.45,3689,137,1003.037,1232.536,3194,0,0,1926,455,1448,306,3,3,3,3
2019,Patones,111,0,0,0,0,0,0,2010,63,0,0,37,0,0,0,0,0,0,0,0,2,4,4,2
2019,Pedrezuela,775,336,0,0,0,0,0,1265,336,34,0,277,0,0,0,0,0,0,213,0,2,2.5,1,2
2019,Pelayos de la Presa,541,376,0,0,0,0,0,1025,3363,75,0,282,63,37,0,0,0,0,0,0,3,3,3,2
2019,Perales de Tajuña,1064,308,0,39,0,0,0,4282,383,179,0,2917,30,104,0,0,1113,0,0,0,3,3.5,3,2
2019,Pezuela de las Torres,403,33,0,0,0,0,0,1630.736,0,0,0,31,0,0,0,0,0,0,0,0,3,2,5,2
2019,Pinto,20340,18.379,1784,2527,722,1117,1741,32.875,1789.764,3562.064,0,11.212,3443,4427,0,32,3783,932,3405,390,3,3,3,3
2019,Pozuelo de Alarcón,28088,13.744,2669,3563,1784,1736,1781,17.743,12.465,1344.945,0,9.864,3607,1308.809,0,0,2369,979,2989,627,3,3,2,1
2019,Pozuelo del Rey,851,98,0,0,0,0,0,513,0,0,0,139,0,0,0,0,0,0,0,0,4,2,3,2
2019,Prádena del Rincón,459,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,3,4.5,3,2
2019,Puebla de la Sierra,121,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,3,4.5,3,2
2019,Puentes Viejas,2274,107,0,0,0,0,0,619,1226,0,0,0,0,0,0,0,0,0,501,0,3,4,4,2
2019,Quijorna,630,378,0,70,0,32,0,492,397,0,0,229,0,118,0,0,0,0,0,0,1,3,3,2
2019,Rascafría,1640,563,142,32,0,0,0,1205,2911,161,0,801,87,118,0,0,50,0,255,53,3,4,3.5,2
2019,Redueña,43,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2
2019,Ribatejada,35,153,0,0,0,0,0,3.211,81,0,0,65,31,35,0,0,0,0,37,0,4,1.5,5,2
2019,Rivas-Vaciamadrid,15870,8.64,1701,1872,819,1242,958,20.632,1765.788,3879,0,10.405000000000001,3056,3741,0,49,2681,554,2110,388,3,3,3,3
2019,Robledillo de la Jara,484,0,0,0,0,0,0,368,44,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2
2019,Robledo de Chavela,1002,610,139,60,0,0,0,1218,3004,332,0,594,74,326,0,0,97,31,70,0,5,2,4,2
2019,"Rozas de Madrid, Las",27599,14.486,2488,3993.154,1364,1572,2311,12.681,13.987,1611.336,39,10.959,3145,9.045,0,0,2861,1152,3715,566,3,3,2,1
2019,Rozas de Puerto Real,32,0,0,0,0,0,0,634,568,0,0,31,0,0,0,0,0,0,0,0,3,5,3,2
2019,San Agustín del Guadalix,3409,1514,229,128,67,64,286,3389,1377,547,0,1364,187,777,0,0,286,0,1310,0,3,3,3,2
2019,San Fernando de Henares,18261,9.893,2035,1652,978,1789,832,37.211,1874.642,818.52,0,8.52,2651,4238,0,32,2431,667,1903,544,3,3,1.5,3
2019,San Lorenzo de El Escorial,5818,4409,717,1200,524,519,660,4085,3691.095,2464,0,3688,759,2075,0,0,722,346,1088,96,3,3,3,2
2019,San Martín de Valdeiglesias,1450,913,85,33,0,0,0,2943,8.174,401,0,665,292,235,0,0,0,0,82,0,3,3,3.5,2
2019,San Martín de la Vega,4308,4058.442,624,883,336,320,717,10.242,2302,1322,0,3776,1422,1470,0,0,1106,226,1155,96,3,3,3,2
2019,San Sebastián de los Reyes,24743,15.616,2165,3622,1558,2192,2715,36.406,17.184,878.068,0,12.471,3599.024,1358.819,0,54,3146,1201,4030.108,755,3,3,3,1
2019,Santa María de la Alameda,609,0,0,0,0,0,0,225,4047,0,0,70,0,0,0,0,0,0,0,0,4,4,3,2
2019,Santorcaz,347,83,413,0,0,0,0,2582,0,694,0,0,0,118,0,0,0,32,0,0,3,3,3,2
2019,"Serna del Monte, La",80,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5,2,2
2019,Sevilla la Nueva,1261,719,104,192,0,41,36,2106,801,126,0,509,384,335,0,0,33,0,0,0,4,2,3,2
2019,Somosierra,776,30,0,0,0,0,0,65,441,0,0,0,0,0,0,0,0,0,34,0,4.5,3.5,3,2
2019,Soto del Real,1712,1212,280,272,31,116,117,2130,2003,552,0,846,304,725,0,0,103,70,263,0,3,2,4,2
2019,Talamanca de Jarama,596,677,0,0,0,0,0,9.494,352,71,0,336,73,30,0,0,0,0,96,0,3,3,3,2
2019,Tielmes,644,124,0,0,0,0,0,1084,82,0,0,537,36,0,0,0,231,0,0,0,4,3,1,2
2019,Titulcia,310,61,0,0,0,0,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2
2019,Torrejón de Ardoz,22179,17.104,3445,2386,1442,1883,1513,64.528,13.548,1887.513,43,12.926,1344.376,4114.428,0,0,3400,805,2531,588,3,3,3,3
2019,Torrejón de Velasco,1795,1851,0,110,0,44,0,15.327,319,106,0,1246,134,156,0,0,203,0,0,0,3,2.5,3,2
2019,Torrejón de la Calzada,1120,1429,224,277,64,34,0,13.114,1104,495,0,1469,888,331,0,0,347,0,131,0,3,3,3,2
2019,Torrelaguna,960,254,0,0,0,0,0,2608.218,374,30,0,155,0,0,0,0,0,0,0,0,2,3,3,2
2019,Torrelodones,8040,3030,557,1291,400,378,443,2506,4421,1342,0,2021,468,1950,0,0,503,124,813,0,3,3,5,3
2019,Torres de la Alameda,1851,1026,304,86,0,0,0,2950,525,652,0,878,221,332,0,0,39,0,62,0,2.5,3.5,3,2
2019,Tres Cantos,12218,1615.322,1568,1908,695,875,1109,9.001,1896.013,3867,0,2120.279,1755,3796,0,0,1480,440,2197,482,3,3,3,3
2019,Valdelaguna,374,91,0,0,0,0,0,377,78,0,0,81,0,0,0,0,0,0,0,0,3.5,3,1,2
2019,Valdemanco,456,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,72,0,3,5,3,2
2019,Valdemaqueda,819,0,0,0,0,0,0,300,918.26,0,0,96,0,0,0,0,0,32,0,0,5,5,3,2
2019,Valdemorillo,2014,1486,224,510,136,100,0,1599,1597,626,0,1376,450,652,0,0,429,30,286,32,4.5,2,2,2
2019,Valdemoro,25444,16.225,2366,2377,843,1271,981,54.382999999999996,1789.873,3801,200,8.92,4400,4178,0,335,3674,755,1516,654,2,3,4,1
2019,Valdeolmos-Alalpardo,522,233,0,0,0,30,34,4635,284,0,0,128,0,143,0,0,0,0,37,0,3,2,3,2
2019,Valdepiélagos,182,214,0,0,0,0,0,8.818,107,0,0,0,0,0,0,0,0,0,0,0,3,5,3,2
2019,Valdilecha,538,600,0,0,0,31,0,903,411,173,0,811,104,30,0,0,64,0,0,0,3,5,3,2
2019,Velilla de San Antonio,1802,1884,519,372,44,117,195,3948,1308,688,0,2104,561,766,0,0,594,77,241,31,2,3,2,2
2019,"Vellón, El",447,358,0,0,0,0,0,2764,380,32,0,296,0,108,0,0,0,0,277,0,3,2,3,2
2019,Venturada,665,195,0,0,0,0,175,913,337,0,0,36,0,0,0,0,0,0,0,0,4,3.5,3,2
