ccaa,CPRO,CMUN,dist,secc,t1_1,t2_1,t2_2,t3_1,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,id_zona,nombre_zona
13,28,079,08,007,1274,0.5565,0.4435,44.5597,0.157,0.5895,0.2535,0.0793,0.1523,0.0791,0.0773,0.6853,0.0579,0.4544,0.4823,096,Fuentelarreina
13,28,079,08,008,1537,0.5348,0.4652,44.2746,0.1431,0.6213,0.2355,0.1457,0.203,0.0759,0.0615,0.5687,0.1054,0.451,0.5042,204,Peñagrande
13,28,079,08,009,1759,0.5344,0.4656,45.3906,0.1256,0.6424,0.2319,0.0944,0.1876,0.0618,0.052,0.4863,0.0856,0.472,0.5163,204,Peñagrande
13,28,079,08,010,859,0.5553,0.4447,47.3225,0.1339,0.5867,0.2794,0.0733,0.1339,0.0591,0.0524,0.4879,0.0734,0.4583,0.4946,204,Peñagrande
13,28,079,08,011,707,0.5078,0.4922,46.7468,0.1301,0.6139,0.256,0.1245,0.1825,0.039,0.0309,0.3675,0.1044,0.4602,0.5138,204,Peñagrande
13,28,079,08,012,1383,0.5221,0.4779,43.992,0.141,0.6399,0.2191,0.0781,0.1258,0.0657,0.0598,0.5631,0.1037,0.4731,0.5278,096,Fuentelarreina
13,28,079,08,013,1000,0.501,0.499,45.653,0.143,0.603,0.254,0.068,0.118,0.0723,0.0642,0.5939,0.1455,0.4247,0.4971,096,Fuentelarreina
13,28,079,08,014,712,0.5253,0.4747,48.8118,0.1166,0.5295,0.3539,0.0435,0.0744,0.07,0.0572,0.496,0.1123,0.4022,0.4531,096,Fuentelarreina
13,28,079,08,015,947,0.5301,0.4699,49.3728,0.1098,0.5607,0.3295,0.0591,0.1119,0.0427,0.0308,0.4567,0.1133,0.427,0.4816,096,Fuentelarreina
13,28,079,08,016,957,0.5361,0.4639,43.6385,0.1432,0.6656,0.1912,0.1766,0.2832,0.0402,0.0256,0.2878,0.1205,0.5073,0.5768,096,Fuentelarreina
13,28,079,08,017,1783,0.5508,0.4492,44.0017,0.1279,0.6826,0.1896,0.1026,0.1677,0.0894,0.0727,0.445,0.1057,0.5222,0.5839,096,Fuentelarreina
13,28,079,08,018,835,0.5605,0.4395,44.212,0.1006,0.7042,0.1952,0.1976,0.303,0.0533,0.0373,0.3182,0.1151,0.4913,0.5553,096,Fuentelarreina
13,28,079,08,019,866,0.5427,0.4573,46.2483,0.112,0.6732,0.2148,0.1721,0.2344,0.0429,0.0312,0.2991,0.1442,0.4707,0.5501,096,Fuentelarreina
13,28,079,08,020,825,0.5539,0.4461,51.0873,0.0921,0.5733,0.3345,0.1067,0.1964,0.0334,0.0294,0.4326,0.0937,0.4393,0.4846,204,Peñagrande
13,28,079,08,021,970,0.5526,0.4474,48.9722,0.1134,0.567,0.3196,0.1072,0.1938,0.036,0.0279,0.3558,0.1166,0.4407,0.4988,204,Peñagrande
13,28,079,08,022,953,0.5257,0.4743,49.0378,0.1028,0.5729,0.3242,0.0923,0.1752,0.0386,0.0351,0.393,0.1087,0.4316,0.4842,204,Peñagrande
13,28,079,08,023,960,0.5292,0.4708,48.0292,0.126,0.5583,0.3156,0.0844,0.1583,0.0453,0.0393,0.3886,0.1229,0.4338,0.4946,204,Peñagrande
13,28,079,08,024,1838,0.5365,0.4635,44.747,0.1306,0.6534,0.216,0.049,0.1007,0.0832,0.0713,0.582,0.0983,0.5169,0.5732,204,Peñagrande
13,28,079,08,025,845,0.568,0.432,50.4367,0.0982,0.5645,0.3373,0.0923,0.1609,0.0407,0.0289,0.3701,0.1444,0.4042,0.4724,204,Peñagrande
13,28,079,08,026,1351,0.5359,0.4641,50.4012,0.097,0.5736,0.3294,0.0933,0.1584,0.0369,0.0303,0.418,0.1187,0.4566,0.518,204,Peñagrande
13,28,079,08,027,1315,0.5498,0.4502,49.6639,0.1118,0.5597,0.3285,0.1072,0.1658,0.0531,0.042,0.4221,0.1168,0.4272,0.4837,204,Peñagrande
13,28,079,08,028,1142,0.563,0.437,50.4028,0.1278,0.5271,0.345,0.0989,0.1725,0.0462,0.0331,0.4157,0.0943,0.4147,0.4578,053,Ciudad de los Periodistas
13,28,079,08,029,1554,0.5438,0.4562,46.5894,0.1583,0.5521,0.2896,0.0495,0.0817,0.0657,0.0558,0.5336,0.0708,0.4717,0.5076,053,Ciudad de los Periodistas
13,28,079,08,030,1534,0.5313,0.4687,50.2216,0.1317,0.5111,0.3572,0.0561,0.0926,0.0465,0.0353,0.467,0.0949,0.4227,0.467,053,Ciudad de los Periodistas
13,28,079,08,031,1440,0.5382,0.4618,49.8979,0.1389,0.5076,0.3535,0.0361,0.0694,0.0645,0.0605,0.6363,0.0732,0.429,0.4629,053,Ciudad de los Periodistas
13,28,079,08,032,673,0.523,0.477,49.5706,0.1218,0.5409,0.3373,0.0639,0.1367,0.0457,0.0355,0.4518,0.035,0.467,0.4839,053,Ciudad de los Periodistas
13,28,079,08,033,1088,0.5303,0.4697,47.4485,0.1406,0.5616,0.2978,0.0184,0.0662,0.0866,0.0791,0.7273,0.073,0.4481,0.4834,053,Ciudad de los Periodistas
13,28,079,08,034,1656,0.5229,0.4771,47.7488,0.1401,0.5598,0.3001,0.0399,0.0984,0.0794,0.0723,0.7233,0.0768,0.4221,0.4572,053,Ciudad de los Periodistas
13,28,079,08,035,1426,0.514,0.486,48.108,0.1536,0.4902,0.3562,0.0575,0.0926,0.0597,0.0547,0.6777,0.0659,0.4109,0.4399,053,Ciudad de los Periodistas
13,28,079,08,036,1547,0.5579,0.4421,49.6484,0.1125,0.5385,0.3491,0.0537,0.095,0.0554,0.0481,0.5914,0.0774,0.4341,0.4705,053,Ciudad de los Periodistas
13,28,079,08,037,804,0.5323,0.4677,50.0236,0.1007,0.5597,0.3396,0.0174,0.0697,0.0636,0.053900000000000003,0.6432,0.1228,0.4149,0.473,053,Ciudad de los Periodistas
13,28,079,08,038,799,0.5519,0.4481,53.4531,0.1164,0.4443,0.4393,0.0401,0.0839,0.051,0.0467,0.5666,0.0816,0.3669,0.3994,053,Ciudad de los Periodistas
13,28,079,08,039,1064,0.5508,0.4492,48.4756,0.1476,0.516,0.3365,0.0526,0.0912,0.0662,0.0606,0.6703,0.0979,0.4168,0.462,053,Ciudad de los Periodistas
13,28,079,08,040,1056,0.5379,0.4621,51.0265,0.0966,0.5237,0.3797,0.0265,0.0663,0.0577,0.044,0.6656,0.0873,0.4057,0.4444,053,Ciudad de los Periodistas
13,28,079,08,041,729,0.535,0.465,49.8203,0.1193,0.5473,0.3333,0.0658,0.0974,0.0717,0.0607,0.4611,0.1186,0.4283,0.486,053,Ciudad de los Periodistas
13,28,079,08,042,1422,0.5345,0.4655,50.7194,0.1118,0.5183,0.3699,0.0738,0.1217,0.0451,0.0364,0.4735,0.1024,0.4165,0.464,053,Ciudad de los Periodistas
13,28,079,08,043,1324,0.5363,0.4637,51.1609,0.1005,0.4985,0.4011,0.0159,0.068,0.0638,0.0596,0.6415,0.0815,0.3787,0.4123,053,Ciudad de los Periodistas
13,28,079,08,044,1557,0.5273,0.4727,51.0231,0.0886,0.5389,0.3725,0.0289,0.0604,0.0677,0.0571,0.5673,0.0958,0.4059,0.4489,053,Ciudad de los Periodistas
13,28,079,08,045,941,0.5632,0.4368,50.2869,0.1137,0.5335,0.3528,0.0712,0.1339,0.0372,0.0288,0.4604,0.1019,0.4436,0.494,053,Ciudad de los Periodistas
13,28,079,08,046,1134,0.5591,0.4409,47.1905,0.1067,0.6235,0.2698,0.1226,0.2363,0.0326,0.0227,0.4126,0.1312,0.4837,0.5568,174,Monforte de Lemos
13,28,079,08,047,1305,0.5571,0.4429,46.4046,0.1096,0.6299,0.2605,0.1303,0.2038,0.0456,0.0318,0.4045,0.1151,0.5095,0.5757,174,Monforte de Lemos
13,28,079,08,048,1099,0.5578,0.4422,47.5732,0.1037,0.606,0.2903,0.1283,0.2166,0.0355,0.0284,0.3685,0.115,0.4609,0.5208,174,Monforte de Lemos
13,28,079,08,049,2281,0.534,0.466,40.9233,0.178,0.6896,0.1324,0.046,0.0886,0.0816,0.0741,0.6464,0.0644,0.6043,0.6459,204,Peñagrande
13,28,079,08,050,1793,0.546,0.454,46.8054,0.126,0.6057,0.2683,0.0753,0.135,0.0504,0.0421,0.4314,0.1341,0.441,0.5093,204,Peñagrande
13,28,079,08,051,1266,0.5332,0.4668,49.7046,0.1011,0.5782,0.3207,0.0348,0.0806,0.0685,0.0641,0.4982,0.1027,0.4376,0.4877,204,Peñagrande
13,28,079,08,052,2086,0.5316,0.4684,42.9036,0.1721,0.6203,0.2076,0.0882,0.1544,0.066,0.0567,0.52,0.0743,0.5408,0.5843,204,Peñagrande
13,28,079,08,053,1215,0.5391,0.4609,44.7984,0.1119,0.6864,0.2016,0.1761,0.2897,0.0482,0.0371,0.3151,0.1314,0.5023,0.5783,174,Monforte de Lemos
13,28,079,08,054,1121,0.5227,0.4773,50.7716,0.1133,0.521,0.3657,0.066,0.1017,0.0473,0.0362,0.5161,0.0949,0.3934,0.4346,205,Pilar
13,28,079,08,055,1492,0.5288,0.4712,50.6287,0.1039,0.5456,0.3505,0.0704,0.1133,0.0486,0.0396,0.5303,0.0995,0.4331,0.4809,205,Pilar
13,28,079,08,056,1190,0.5361,0.4639,52.995,0.0941,0.4882,0.4176,0.0462,0.0773,0.051,0.0482,0.6141,0.0843,0.3729,0.4072,205,Pilar
13,28,079,08,057,1034,0.5358,0.4642,53.4855,0.0928,0.4749,0.4323,0.0503,0.0986,0.0405,0.0373,0.5821,0.0571,0.387,0.4104,205,Pilar
13,28,079,08,058,893,0.5431,0.4569,50.645,0.1086,0.5196,0.3718,0.0672,0.1198,0.0465,0.0427,0.6219,0.0629,0.4121,0.4397,205,Pilar
13,28,079,08,059,816,0.5466,0.4534,54.098,0.0772,0.4718,0.451,0.06,0.1017,0.0279,0.0252,0.66,0.09,0.3758,0.413,205,Pilar
13,28,079,08,060,1248,0.5369,0.4631,51.8325,0.101,0.4944,0.4046,0.0561,0.0986,0.0579,0.0499,0.6168,0.0751,0.3841,0.4153,205,Pilar
13,28,079,08,061,967,0.544,0.456,45.4829,0.1034,0.6929,0.2037,0.1272,0.2172,0.0427,0.0323,0.3472,0.1182,0.5421,0.6148,205,Pilar
13,28,079,08,062,658,0.5684,0.4316,47.8009,0.0851,0.6596,0.2553,0.1155,0.2097,0.0548,0.0332,0.3671,0.1105,0.5083,0.5714,205,Pilar
13,28,079,08,063,837,0.5412,0.4588,45.6464,0.1183,0.6464,0.2354,0.147,0.2473,0.0366,0.0271,0.2927,0.1506,0.5122,0.603,205,Pilar
13,28,079,08,064,1215,0.5391,0.4609,46.3934,0.1193,0.6502,0.2305,0.1465,0.2609,0.0346,0.0243,0.2925,0.1419,0.4748,0.5533,174,Monforte de Lemos
13,28,079,08,065,985,0.5411,0.4589,46.532,0.1036,0.6761,0.2203,0.1675,0.2802,0.0464,0.026,0.2763,0.1488,0.4858,0.5708,174,Monforte de Lemos
13,28,079,08,066,816,0.5625,0.4375,46.8051,0.1029,0.652,0.2451,0.1777,0.3186,0.0342,0.0246,0.3128,0.1262,0.4918,0.5628,174,Monforte de Lemos
13,28,079,08,067,1432,0.5293,0.4707,45.9372,0.1054,0.6543,0.2402,0.1578,0.2563,0.0445,0.0343,0.3341,0.1099,0.5121,0.5753,174,Monforte de Lemos
13,28,079,08,068,994,0.5573,0.4427,46.1851,0.1097,0.659,0.2314,0.1529,0.2495,0.0452,0.0282,0.3254,0.0951,0.5266,0.5819,174,Monforte de Lemos
13,28,079,08,069,882,0.5261,0.4739,45.0578,0.1259,0.644,0.2302,0.1519,0.2494,0.0259,0.0195,0.2802,0.1409,0.4981,0.5798,174,Monforte de Lemos
13,28,079,08,071,989,0.549,0.451,47.7735,0.1082,0.64,0.2518,0.1385,0.2376,0.0283,0.0227,0.3311,0.139,0.5057,0.5873,174,Monforte de Lemos
13,28,079,08,072,959,0.56,0.44,48.2367,0.0949,0.6246,0.2805,0.1376,0.2492,0.0346,0.03,0.3606,0.1011,0.4919,0.5472,174,Monforte de Lemos
13,28,079,08,073,906,0.5486,0.4514,48.1667,0.0982,0.6291,0.2726,0.1512,0.2483,0.0392,0.033,0.3611,0.0931,0.5006,0.552,174,Monforte de Lemos
13,28,079,08,074,942,0.5584,0.4416,46.0849,0.1125,0.6444,0.2431,0.1465,0.2558,0.0359,0.0275,0.3517,0.0913,0.5,0.5502,174,Monforte de Lemos
13,28,079,08,075,916,0.5622,0.4378,46.4749,0.1146,0.6321,0.2533,0.1681,0.2434,0.0481,0.0419,0.3625,0.115,0.5031,0.5684,174,Monforte de Lemos
13,28,079,08,076,869,0.5616,0.4384,46.7388,0.0898,0.664,0.2463,0.1818,0.2911,0.0417,0.0316,0.3413,0.10780000000000001,0.4918,0.5512,205,Pilar
13,28,079,08,077,974,0.5359,0.4641,47.1057,0.1006,0.6407,0.2587,0.1632,0.2782,0.0457,0.0388,0.3573,0.1163,0.4943,0.5594,205,Pilar
13,28,079,08,078,805,0.5404,0.4596,49.1205,0.0969,0.5901,0.313,0.1528,0.2621,0.0316,0.0248,0.3549,0.1138,0.4498,0.5076,205,Pilar
13,28,079,08,079,956,0.5575,0.4425,49.1224,0.0973,0.5931,0.3096,0.1067,0.1946,0.0348,0.0301,0.3546,0.0874,0.4716,0.5168,205,Pilar
13,28,079,08,080,942,0.5478,0.4522,47.0913,0.0987,0.6486,0.2527,0.1539,0.2442,0.0412,0.0294,0.3958,0.1138,0.5135,0.5795,205,Pilar
