CMUN,CDIS,tmed,prec,velmedia,presMax
037,01,14.18933538021529,1.0979046825438883,2.8103847829220387,918.1790895017502
038,01,9.388420825225143,2.4760603231290115,4.042392358214474,834.1636465845933
039,01,12.849234875556268,1.8579101645296459,2.376018638786406,906.2302830488421
040,01,15.544668450847697,0.9280377886123905,2.539079482397493,939.3176675708166
040,02,15.53146573893226,0.9097308921538282,2.4436457704090797,938.8067562252128
040,03,15.572015696099655,0.9480955530584453,2.6556302106376495,939.8393681018695
041,01,15.15277498718149,0.9905604009660136,3.159193816552418,941.4157206529062
042,01,14.650074827180058,0.7392437712503497,2.366732848982614,928.5123256691228
043,01,15.373880855933114,0.9192680536866359,2.3553654779597077,935.1109362410175
043,02,15.50861013296835,0.8268069331388127,2.040657862173892,935.6768346578162
044,01,13.505314769459043,1.281818009770353,3.16554691640588,903.4377121566923
045,01,14.118559585039842,1.2130232936373149,2.706727135295502,908.0200001761963
046,01,10.574173498193193,1.8599291345970892,4.055179202828581,855.788012239637
047,01,12.067863417909575,1.6048579146607898,3.542096049694886,878.1201551536492
048,01,15.104300707998243,1.0252002945022833,3.0774465344669646,939.5538200567967
049,01,15.579725459895627,0.9664505922386599,3.111742914747688,947.7491812881261
049,02,15.555468010380437,0.9622431657951935,3.1367872447281306,947.5380578933833
049,03,15.564419232203363,0.9455092657583954,3.2482312569789524,948.8902960988496
049,04,15.589871510186674,0.9446767047290092,3.266670440653456,949.4838845278282
050,01,15.545183092781334,1.0213373229013232,2.988304534275258,938.3250256437399
051,01,14.632178932413689,0.7636858361767856,2.3995586238133892,928.0582932308029
052,01,15.451679943392627,0.9177158903066621,2.4275907815291222,937.8438798174445
053,01,15.187494811396029,0.9321556980603208,3.266548353221159,943.5273838042507
054,01,12.18249711611264,1.4200607118769915,3.64775802992187,882.72501395286
054,02,12.347181292498247,1.3626177911063961,3.573579555986049,886.275805917368
055,01,15.018346370345128,1.0830970618460898,2.778358562147247,932.904510276832
