cmun,cdis,ayuntamientos_consejerias_ministerios_etc,sanidad_y_servicios_sociales,actividades_administrativas,actividades_asociativas_y_hogares,actividades_profesionales,administraciones_publicas,alimentacion,centros_educativos_no_universitarios_centros_publicos,comercio_mayorista,comercio_minorista,construccion,educacion,hosteleria,industria_quimica_y_refino,informacion_y_comunicaciones,maquinaria_industrial,material_de_transporte,material_electrico_y_electronico,mercadillos,metalicas_basicas_e_intermedias,mineria_y_suministros,otras_manufactureras,otros_servicios_bancos,papel_y_graficas,servicios_financieros,servicios_personales,servicios_recreativos,textil_confeccion_y_calzado,transporte_y_almacenamiento,actividades_inmobiliarias,centros_educativos_no_universitarios_centros_privados,industria_no_metalica,administracion_de_justicia,agencia_tributaria,campus_universitarios,centros_educativos_universitarios,colegios_mayores,galerias_de_alimentacion,grandes_superficies_especializadas,hipermercados,mercados_de_abastos,agricultura_y_ganaderia,centros_educativos_no_universitarios_servicios_educativos,seguridad_social,centros_comerciales,oficinas_de_empleo,embajadas_y_consulados
079,17,1,107,130,17,76,8,28,40,304,299,316,106,158,7,33,4,11,10,4,14,10,24,25,23,43,55,23,10,122,27,32,4,0,0,0,0,0,3,1,1,1,2,1,1,1,1,0
079,18,1,78,124,8,54,4,14,23,194,238,162,77,134,3,30,3,0,7,1,14,14,25,25,21,39,51,28,4,128,21,32,3,0,0,0,0,0,3,2,1,2,1,0,0,1,1,0
079,19,1,47,37,4,26,2,6,19,38,93,71,53,63,1,4,1,2,1,1,4,5,3,13,0,24,32,17,1,63,12,20,5,0,0,1,6,1,1,0,0,1,1,0,0,1,0,0
079,20,1,123,276,39,346,11,12,36,212,385,250,147,279,12,306,8,6,22,1,14,5,39,44,29,106,70,72,9,167,57,46,2,5,1,3,1,0,2,6,1,0,5,8,2,2,1,0
079,21,1,40,73,17,109,4,0,13,67,92,58,53,132,1,51,3,2,3,1,0,7,19,15,1,48,23,26,1,187,13,18,1,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0
080,01,1,41,20,5,20,3,2,9,13,110,32,22,56,1,10,0,0,0,1,0,1,1,8,0,17,22,10,1,5,12,9,3,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0
080,02,0,30,38,24,50,2,3,13,18,132,45,37,90,0,29,0,0,0,0,1,3,3,21,2,38,31,30,0,12,15,12,0,4,0,1,1,0,1,3,2,0,0,0,0,5,1,0
082,01,1,4,1,2,0,2,1,3,0,9,7,10,14,0,1,0,0,0,1,0,0,0,2,0,4,2,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
083,01,1,7,11,1,11,2,2,5,21,20,39,10,13,2,2,5,1,1,1,6,3,4,5,4,6,6,2,1,30,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
084,01,1,14,17,2,8,4,13,10,44,44,71,17,26,5,2,8,0,4,1,29,1,15,5,15,8,10,5,1,23,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
085,01,1,1,1,3,1,2,2,4,6,8,4,7,14,0,0,0,0,0,1,0,0,1,2,0,2,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
086,01,1,6,4,0,3,3,0,6,4,15,12,9,12,0,1,0,0,0,1,2,0,1,2,0,4,2,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
087,01,1,4,0,2,0,2,1,3,0,5,7,6,11,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
088,01,1,5,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
089,01,1,4,3,0,0,2,3,4,15,14,26,4,7,0,3,0,0,3,1,16,1,15,2,5,2,3,2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
090,01,1,10,13,3,10,2,1,5,4,33,11,15,19,0,0,0,0,0,1,1,0,1,2,1,5,5,5,0,7,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
091,01,0,6,3,0,1,0,3,0,1,6,8,0,3,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
091,02,1,1,2,2,0,1,1,5,0,5,8,5,8,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
092,01,1,29,16,5,11,5,3,14,3,58,44,26,27,1,5,1,0,0,1,3,0,1,10,2,16,8,11,0,18,5,6,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0
092,02,0,40,34,7,51,2,6,18,68,96,69,45,77,2,13,3,1,7,0,10,1,18,23,5,32,21,18,3,28,10,7,0,1,0,1,6,0,4,0,0,0,0,0,0,1,1,0
092,03,0,32,22,4,18,1,6,14,19,96,58,27,42,1,2,1,0,0,0,8,0,4,11,3,26,20,16,0,16,9,7,2,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0
092,04,0,41,39,3,23,3,5,27,25,117,68,51,73,0,8,1,3,1,0,17,0,16,13,13,29,25,13,2,18,16,11,1,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0
093,01,1,1,0,0,4,2,1,2,0,11,5,2,18,0,0,0,0,0,2,0,0,0,1,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094,01,1,0,1,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
095,01,1,2,1,0,0,2,1,2,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
096,01,1,30,21,1,21,7,7,12,11,56,45,25,30,1,6,2,1,1,1,4,1,7,5,3,10,13,12,2,28,5,9,4,5,0,0,0,0,1,0,0,1,0,3,0,0,0,0
097,01,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
099,01,1,5,1,1,0,2,0,2,4,6,9,2,4,0,0,0,0,0,1,2,0,0,1,0,2,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,01,1,1,1,2,2,2,2,3,1,7,17,7,7,0,0,0,0,0,1,1,1,1,1,0,0,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,01,1,1,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,01,1,3,0,0,0,2,0,3,0,0,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,01,1,10,22,0,17,2,4,12,31,43,35,18,29,3,3,4,0,2,1,20,3,21,7,3,8,7,5,2,22,3,7,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
106,01,1,61,57,5,40,4,2,46,38,199,156,80,113,0,4,1,2,0,1,18,4,10,23,8,47,36,29,3,58,19,16,3,3,0,0,0,0,4,2,1,0,1,3,0,3,1,0
107,01,1,4,0,0,0,2,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,01,1,11,2,2,7,2,1,5,0,4,9,4,9,0,0,0,0,0,1,1,0,0,1,0,2,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,01,1,3,2,0,1,2,2,2,2,5,8,2,7,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,01,1,2,1,0,0,2,0,3,1,8,2,3,2,0,0,0,0,0,1,0,2,0,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,01,1,1,0,0,0,2,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,01,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,01,1,18,23,1,17,2,6,7,80,61,51,11,28,3,3,8,6,10,0,26,0,15,12,17,13,14,6,1,40,7,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
113,02,0,28,25,2,23,2,9,11,54,65,37,31,42,1,4,3,0,2,1,3,6,8,8,9,11,9,12,2,52,5,8,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
114,01,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,01,1,77,64,78,108,6,2,8,42,88,48,59,79,2,78,2,1,2,1,1,3,3,12,2,43,27,35,2,21,28,30,0,0,0,3,12,1,1,1,1,0,2,2,2,3,0,2
115,02,0,47,62,34,92,1,5,9,41,127,35,58,70,0,61,0,0,2,0,2,0,6,12,1,31,29,20,3,17,14,21,1,4,1,1,10,0,0,0,1,0,3,0,0,3,0,1
116,01,1,0,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,01,1,1,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,01,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,01,1,1,0,0,1,2,0,3,3,1,4,4,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
120,01,1,3,1,0,1,2,1,2,0,6,2,2,17,0,0,0,0,0,1,1,0,1,2,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,01,1,0,1,0,0,2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,01,1,3,1,0,0,2,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,01,1,61,71,13,71,7,12,33,119,230,185,87,131,1,35,4,1,5,3,12,6,17,21,15,29,41,51,1,82,16,23,3,0,0,0,0,0,0,6,1,0,1,1,0,5,1,0
124,01,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,01,1,5,4,0,1,2,0,4,2,12,8,4,5,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
126,01,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,01,1,82,147,33,199,2,11,23,165,300,110,105,183,2,164,1,2,2,3,4,8,9,25,8,76,45,58,2,39,49,40,0,1,0,0,2,0,1,2,1,0,2,1,0,6,0,1
128,01,1,1,1,0,0,2,0,2,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,01,1,7,13,4,7,2,7,5,16,17,10,14,19,3,3,1,0,0,2,2,1,3,4,2,5,5,5,0,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,01,1,26,65,1,55,2,8,17,158,117,84,32,66,3,22,5,4,10,1,24,6,23,10,17,24,24,11,3,110,6,4,1,0,0,0,0,0,1,1,1,0,0,2,0,2,0,0
131,01,1,15,10,9,7,2,1,9,7,34,6,16,51,0,5,0,0,0,1,2,0,1,5,0,5,4,10,0,2,4,6,0,4,0,1,1,1,0,1,0,0,2,0,0,1,0,0
131,02,0,3,0,3,2,0,0,1,1,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
132,01,1,11,14,1,3,2,1,10,33,42,25,14,22,0,1,2,1,2,1,14,4,6,4,2,6,5,7,0,15,2,4,4,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0
133,01,1,9,4,1,6,3,1,8,5,17,16,10,7,0,1,0,0,0,1,0,1,0,4,0,4,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0
134,01,1,82,125,16,132,5,11,29,192,317,166,87,165,5,71,4,5,11,1,7,5,27,25,15,59,40,57,10,55,19,29,2,0,0,0,0,0,3,9,1,0,5,4,0,6,1,1
135,01,1,1,0,0,0,2,1,1,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,01,1,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,01,1,1,0,0,0,2,0,2,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
138,01,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,01,1,7,7,0,2,2,0,3,3,5,17,3,3,0,0,2,0,0,1,2,2,2,2,1,1,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,01,1,10,4,2,2,1,0,6,1,12,11,10,9,0,1,0,0,0,1,2,1,2,3,1,4,2,4,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,01,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,01,1,11,5,1,5,4,1,7,0,9,9,14,18,0,1,0,1,0,1,0,1,2,3,0,4,3,4,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,01,1,5,4,0,0,2,3,3,1,3,1,4,4,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
146,01,1,3,3,0,0,2,0,3,1,4,5,4,1,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
147,01,1,0,0,0,0,2,1,2,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,01,0,21,16,3,11,1,2,14,10,45,34,26,49,0,3,0,1,0,0,1,1,0,11,2,13,11,9,0,27,5,5,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0
148,02,0,22,24,2,17,0,7,12,32,95,57,38,59,9,6,8,6,17,1,42,2,26,7,3,12,17,14,3,40,13,13,1,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0
148,03,0,13,21,1,17,1,4,4,48,39,28,14,23,4,4,6,5,5,1,9,4,9,3,5,4,9,4,0,25,2,8,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
148,04,1,16,18,1,27,5,1,10,15,71,35,24,36,0,5,0,0,0,0,3,1,3,14,1,25,13,7,0,12,11,8,1,5,0,0,0,0,1,1,1,0,0,1,1,1,1,0
149,01,1,6,6,0,13,3,2,6,11,12,27,6,17,1,0,1,1,1,1,15,1,3,4,3,2,3,2,0,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,01,1,1,1,0,1,2,1,3,2,5,4,4,3,1,0,1,0,0,1,2,3,6,2,0,3,4,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,01,1,1,0,0,1,2,0,0,0,6,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,02,0,3,4,0,2,3,1,6,0,14,3,7,4,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
152,01,1,28,17,13,30,3,0,8,4,46,19,33,47,0,6,0,0,0,0,1,0,2,7,0,10,17,14,1,9,5,8,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
153,01,1,7,3,1,0,3,0,2,0,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
154,01,1,9,3,1,3,3,2,6,8,21,18,9,15,4,0,3,1,1,1,7,0,11,2,5,3,3,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
155,01,1,0,0,0,0,2,0,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
156,01,1,0,1,0,0,2,0,1,2,1,3,1,2,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,01,1,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,01,1,0,0,0,0,2,0,1,0,0,2,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,01,1,0,0,0,0,2,0,1,0,2,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,01,1,4,9,4,8,2,0,5,6,21,17,12,13,0,2,0,0,1,1,3,0,0,2,0,3,4,6,1,7,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
161,01,1,23,44,6,22,4,6,21,78,114,85,37,56,7,1,8,1,2,1,20,2,25,12,9,22,20,7,5,67,5,11,6,2,0,0,0,0,1,0,1,0,1,1,0,1,1,0
161,02,0,20,18,1,10,1,2,5,18,39,39,23,53,1,1,3,0,2,0,5,1,9,6,5,14,18,9,0,21,4,13,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0
162,01,1,2,2,1,2,1,1,3,3,3,3,6,3,0,0,0,1,0,2,0,0,0,1,1,1,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,01,1,2,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,01,1,6,4,1,0,2,1,2,3,4,9,2,4,0,0,0,0,0,1,2,0,0,1,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165,01,1,1,1,0,1,2,1,3,1,5,4,3,2,1,1,0,0,0,1,2,1,0,2,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
166,01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,01,1,6,11,0,5,2,4,5,9,14,25,10,11,0,1,2,0,0,1,9,0,9,3,4,5,6,2,0,21,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,01,1,1,1,0,0,2,0,3,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
169,01,1,3,4,0,1,2,0,2,1,9,0,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,01,1,2,0,0,0,2,2,2,6,7,1,2,4,0,0,0,0,0,1,1,1,0,2,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
171,01,1,7,0,4,0,3,1,4,3,14,11,5,6,0,0,0,0,0,1,0,0,0,3,0,3,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
172,01,1,7,4,1,3,2,4,8,4,6,7,19,10,2,1,1,0,1,2,6,1,2,2,2,2,1,2,0,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,01,1,0,0,0,0,2,0,1,0,4,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,01,1,3,3,0,0,2,1,2,1,3,5,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
175,01,1,3,2,0,0,2,0,2,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,01,1,34,19,7,15,2,1,7,14,30,27,34,46,0,10,0,0,2,1,0,0,1,5,2,6,12,10,0,9,4,14,0,0,0,2,17,4,0,0,0,0,0,2,0,0,0,0
177,01,1,11,20,0,7,2,3,7,11,24,24,22,13,0,2,0,0,0,1,0,1,1,4,3,4,4,6,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,01,1,0,1,0,0,2,0,2,0,1,1,2,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,01,1,1,1,0,0,2,0,2,1,1,3,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,01,1,5,1,0,4,2,6,7,3,13,23,10,12,1,0,0,0,0,1,4,1,2,4,0,3,1,1,2,2,0,3,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0
181,01,1,31,22,11,32,2,2,9,44,56,49,34,69,0,14,2,0,4,1,1,0,5,13,3,18,15,14,3,13,8,13,4,0,0,1,5,3,2,0,0,0,1,1,0,1,0,0
182,01,1,2,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,01,1,3,0,1,0,2,1,2,0,0,4,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,01,1,4,2,0,1,2,1,2,0,7,4,2,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
902,01,1,4,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,01,1,45,59,5,107,3,8,19,87,89,30,85,91,10,63,3,3,12,1,1,1,8,14,9,34,21,28,1,17,13,31,0,0,0,0,0,0,1,0,1,0,2,1,1,2,0,0
