mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN
2019-07,302,EE.UU.,28049,Coslada,259,049
2019-07,340,Argentina,28049,Coslada,41,049
2019-07,407,China,28049,Coslada,70,049
2019-07,000,Total,28050,Cubas de la Sagra,134,050
2019-07,010,Total Europa,28050,Cubas de la Sagra,123,050
2019-07,011,Total Unión Europea,28050,Cubas de la Sagra,116,050
2019-07,110,Francia,28050,Cubas de la Sagra,33,050
2019-07,000,Total,28051,Chapinería,40,051
2019-07,010,Total Europa,28051,Chapinería,36,051
2019-07,000,Total,28052,Chinchón,166,052
2019-07,010,Total Europa,28052,Chinchón,145,052
2019-07,011,Total Unión Europea,28052,Chinchón,116,052
2019-07,110,Francia,28052,Chinchón,36,052
2019-07,121,Países Bajos,28052,Chinchón,53,052
2019-07,000,Total,28053,Daganzo de Arriba,281,053
2019-07,010,Total Europa,28053,Daganzo de Arriba,260,053
2019-07,011,Total Unión Europea,28053,Daganzo de Arriba,256,053
2019-07,110,Francia,28053,Daganzo de Arriba,44,053
2019-07,121,Países Bajos,28053,Daganzo de Arriba,30,053
2019-07,123,Portugal,28053,Daganzo de Arriba,55,053
2019-07,126,Alemania,28053,Daganzo de Arriba,45,053
2019-07,000,Total,28054,"Escorial, El",745,054
2019-07,010,Total Europa,28054,"Escorial, El",644,054
2019-07,011,Total Unión Europea,28054,"Escorial, El",575,054
2019-07,030,Total América,28054,"Escorial, El",81,054
2019-07,031,Total América del Norte,28054,"Escorial, El",66,054
2019-07,110,Francia,28054,"Escorial, El",287,054
2019-07,121,Países Bajos,28054,"Escorial, El",70,054
2019-07,125,Reino Unido,28054,"Escorial, El",60,054
2019-07,126,Alemania,28054,"Escorial, El",44,054
2019-07,302,EE.UU.,28054,"Escorial, El",60,054
2019-07,000,Total,28055,Estremera,123,055
2019-07,010,Total Europa,28055,Estremera,111,055
2019-07,011,Total Unión Europea,28055,Estremera,100,055
2019-07,110,Francia,28055,Estremera,37,055
2019-07,000,Total,28057,Fresno de Torote,65,057
2019-07,010,Total Europa,28057,Fresno de Torote,52,057
2019-07,011,Total Unión Europea,28057,Fresno de Torote,45,057
2019-07,000,Total,28058,Fuenlabrada,5308,058
2019-07,010,Total Europa,28058,Fuenlabrada,3990,058
2019-07,011,Total Unión Europea,28058,Fuenlabrada,3656,058
2019-07,020,Total África,28058,Fuenlabrada,395,058
2019-07,030,Total América,28058,Fuenlabrada,295,058
2019-07,031,Total América del Norte,28058,Fuenlabrada,185,058
2019-07,033,Total Sudamérica,28058,Fuenlabrada,106,058
2019-07,040,Total Asia,28058,Fuenlabrada,625,058
2019-07,102,Austria,28058,Fuenlabrada,135,058
2019-07,103,Bélgica,28058,Fuenlabrada,86,058
2019-07,107,Dinamarca,28058,Fuenlabrada,76,058
2019-07,110,Francia,28058,Fuenlabrada,670,058
2019-07,113,Irlanda,28058,Fuenlabrada,327,058
2019-07,115,Italia,28058,Fuenlabrada,144,058
2019-07,117,Luxemburgo,28058,Fuenlabrada,142,058
2019-07,121,Países Bajos,28058,Fuenlabrada,483,058
2019-07,122,Polonia,28058,Fuenlabrada,73,058
2019-07,123,Portugal,28058,Fuenlabrada,278,058
2019-07,125,Reino Unido,28058,Fuenlabrada,236,058
2019-07,126,Alemania,28058,Fuenlabrada,264,058
2019-07,128,Rumania,28058,Fuenlabrada,73,058
2019-07,131,Suecia,28058,Fuenlabrada,796,058
2019-07,132,Suiza,28058,Fuenlabrada,34,058
2019-07,135,Ucrania,28058,Fuenlabrada,47,058
2019-07,141,Estonia,28058,Fuenlabrada,47,058
2019-07,220,Guinea ecuatorial,28058,Fuenlabrada,83,058
2019-07,228,Marruecos,28058,Fuenlabrada,170,058
2019-07,234,Nigeria,28058,Fuenlabrada,135,058
2019-07,302,EE.UU.,28058,Fuenlabrada,155,058
