CMUN,id_zona,nombre_zona,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,area,densidad_hab_km
005,217,Puerta de Madrid,31,42.71622973009026,44978,0.5119626350660323,0.4880373649339677,0.14533961047623284,0.6699722086353328,0.18469502868068832,0.17348306950064477,0.20452072346480502,0.05899516207923874,0.04765429765663213,0.23845290364178043,0.18708219351683045,0.4644654097558807,0.568838034150029,4334139.79737809,10377.607115305591
005,226,Reyes Magos,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13276062.681369,NA
005,284,Virgen del Val,24,45.61316967604219,31856,0.5173235183324962,0.48267648166750377,0.1213792817679558,0.6418263404068307,0.2367854721245605,0.16132579733802108,0.1911062405826218,0.06637763686589652,0.05738753139126067,0.3431334097187343,0.1541127417127072,0.44650714151180315,0.527712644399799,16945270.040448,1879.9346321398484
006,008,Alcobendas - Chopera,17,42.938617174293206,27448,0.5282667225298746,0.47173327747012533,0.13861856237248615,0.6563967247158263,0.20496895584377733,0.22332569221801224,0.3378025029146022,0.05416035776741475,0.04193884800349752,0.2819676260565433,0.13412834814922764,0.4738720744680851,0.5474458758379481,811208.396308526,33835.94169501265
006,125,La Moraleja,10,38.81531707269443,20483,0.5217607284089245,0.4782392715910755,0.21921143875408874,0.626220953961822,0.15456548845383977,0.16472924376312065,0.24634595518234634,0.0869246594737099,0.083683298344969,0.6901012351706293,0.04940122540643461,0.4938470292437631,0.5196818776546405,25574890.8916936,800.9027325568227
006,160,Marqués de la Valdavia,10,44.574570846492044,16149,0.524113759365905,0.475886240634095,0.1342395752058951,0.6326007802340703,0.2331309616694532,0.09324276425784878,0.16422573533964951,0.06805437488389374,0.054466307511301014,0.38485321691745616,0.11010280512725246,0.48840361013065825,0.5472502569818564,1103117.26373046,14639.422780301904
006,172,Miraflores,13,43.42119800540591,21458,0.5246957824587566,0.47530421754124336,0.13612558020318763,0.6551510112778451,0.20873593531550005,0.18171741075589523,0.27662516543946314,0.05643512908938391,0.04324910522881909,0.28838030105322027,0.13376605461832416,0.47884407680119306,0.5522430282412154,673170.955047432,31876.00391714473
006,262,Valdelasfuentes,17,36.84246285996747,31357,0.5137674331090346,0.4862325668909654,0.21958812386389004,0.6951198137576936,0.08528901361737411,0.06630441687661448,0.11612589214529451,0.0772412858372931,0.06579698631884429,0.5726007175431324,0.08603350766973882,0.6381955671779826,0.6979061134674873,17108344.5900841,1832.8482825962217
007,069,Doctor Laín Entralgo,17,45.682521364871754,23548,0.5258694963478852,0.47413050365211484,0.12511099881093937,0.6271060769492102,0.24779197808731104,0.0659866273144216,0.10539761338542553,0.07165740614914218,0.05590805163920503,0.39506823934092067,0.12192756497367081,0.472502174282317,0.5381351409886189,1691540.62458101,13921.03722358591
007,072,Doctor Trueta,9,45.3711012721186,10455,0.5200326542324246,0.4799673457675753,0.1309370636059302,0.614055762792922,0.2550038737446198,0.22010101386896222,0.3005325011956002,0.03712452415112386,0.02695563845050215,0.2229087900526064,0.18376029650884743,0.4245372549019608,0.5199615112386419,187545.850652537,55746.36796081296
