anyo,mun_dest,receptor,Andalucía,Aragón,"Asturias, Principado de","Balears, Illes",Canarias,Cantabria,Castilla - La Mancha,Castilla y León,Cataluña,Ceuta,Comunitat Valenciana,Extremadura,Galicia,"Madrid, Comunidad de",Melilla,"Murcia, Región de","Navarra, Comunidad Foral de",País Vasco,"Rioja, La",comercio,hosteleria,turismo,cluster
2020,Getafe,55468,42957,6307,5463,1996,3258,2607,145814,26025,13835,39,23571,14807,25333,0,114,8742,2450,5621,1122,3,3,2.5,1
2020,Griñón,1725,1383,243,163,48,67,69,20813,1307,575,0,1142,560,742,0,0,185,30,104,0,3,2.5,4,3
2020,Guadalix de la Sierra,1511,615,0,0,0,0,0,1973,1339,118,0,476,1077,539,0,0,0,0,52,0,3,3,3,3
2020,Guadarrama,5243,3239,381,2071,0,298,350,5005,19300,837,0,2282,801,10731,0,0,763,136,496,0,2,3,3,3
2020,Horcajo de la Sierra-Aoslos,103,35,0,0,0,0,0,36,252,0,0,0,0,0,0,0,0,0,108,0,3,4.5,3,3
2020,Hoyo de Manzanares,1785,1105,320,132,0,32,0,897,1029,338,0,417,180,603,0,0,0,0,34,0,3,3,1,3
2020,Humanes de Madrid,4050,3753,505,543,208,122,261,22970,4882,1462,0,2797,2180,2224,0,0,611,57,723,144,3,3,3,3
2020,Leganés,41834,25025,3589,3479,2062,2914,1709,115567,32773,9753,35,16657,17839,17005,0,114,4277,1705,3400,802,4,4,4,4
2020,Loeches,5408,1334,108,235,0,0,0,7588,966,734,0,1173,244,851,0,0,144,0,84,0,3,3,3,3
2020,Lozoya,67,32,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3
2020,Lozoyuela-Navas-Sieteiglesias,1689,101,0,0,0,0,235,1940,2106,0,0,35,0,30,0,0,0,0,1289,0,5,4.5,3,3
2020,Madrid,1720168,882518,151241,158193,115793,148600,80596,1357453,762162,456839,5395,512864,203444,622157,0,7314,140654,72371,210941,40957,4,4,4,2
2020,Majadahonda,26961,9666,1627,2566,1067,1162,1114,13644,10886,3518,0,5859,2124,9051,0,0,1946,507,2133,360,3,3,4,3
