mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,011,TOTAL UNIÓN EUROPEA,28016,"ATAZAR, EL",54,016,54
2019-07,000,TOTAL,28017,BATRES,47,017,47
2019-07,010,TOTAL EUROPA,28017,BATRES,40,017,40
2019-07,011,TOTAL UNIÓN EUROPEA,28017,BATRES,37,017,37
2019-07,000,TOTAL,28018,BECERRIL DE LA SIERRA,92,018,92
2019-07,010,TOTAL EUROPA,28018,BECERRIL DE LA SIERRA,71,018,71
2019-07,011,TOTAL UNIÓN EUROPEA,28018,BECERRIL DE LA SIERRA,62,018,62
2019-07,000,TOTAL,28019,BELMONTE DE TAJO,75,019,75
2019-07,010,TOTAL EUROPA,28019,BELMONTE DE TAJO,68,019,68
2019-07,011,TOTAL UNIÓN EUROPEA,28019,BELMONTE DE TAJO,56,019,56
2019-07,000,TOTAL,28021,"BERRUECO, EL",198,021,198
2019-07,010,TOTAL EUROPA,28021,"BERRUECO, EL",177,021,177
2019-07,011,TOTAL UNIÓN EUROPEA,28021,"BERRUECO, EL",165,021,165
2019-07,110,FRANCIA,28021,"BERRUECO, EL",39,021,39
2019-07,126,ALEMANIA,28021,"BERRUECO, EL",50,021,50
2019-07,000,TOTAL,28022,BOADILLA DEL MONTE,2545,022,2545
2019-07,010,TOTAL EUROPA,28022,BOADILLA DEL MONTE,2041,022,2041
2019-07,011,TOTAL UNIÓN EUROPEA,28022,BOADILLA DEL MONTE,1722,022,1722
2019-07,030,TOTAL AMÉRICA,28022,BOADILLA DEL MONTE,370,022,370
2019-07,031,TOTAL AMÉRICA DEL NORTE,28022,BOADILLA DEL MONTE,233,022,233
2019-07,033,TOTAL SUDAMÉRICA,28022,BOADILLA DEL MONTE,133,022,133
2019-07,040,TOTAL ASIA,28022,BOADILLA DEL MONTE,115,022,115
2019-07,102,AUSTRIA,28022,BOADILLA DEL MONTE,341,022,341
2019-07,103,BÉLGICA,28022,BOADILLA DEL MONTE,34,022,34
2019-07,107,DINAMARCA,28022,BOADILLA DEL MONTE,56,022,56
2019-07,110,FRANCIA,28022,BOADILLA DEL MONTE,356,022,356
2019-07,115,ITALIA,28022,BOADILLA DEL MONTE,64,022,64
2019-07,117,LUXEMBURGO,28022,BOADILLA DEL MONTE,38,022,38
2019-07,121,PAÍSES BAJOS,28022,BOADILLA DEL MONTE,391,022,391
2019-07,122,POLONIA,28022,BOADILLA DEL MONTE,37,022,37
2019-07,123,PORTUGAL,28022,BOADILLA DEL MONTE,96,022,96
2019-07,125,REINO UNIDO,28022,BOADILLA DEL MONTE,279,022,279
2019-07,126,ALEMANIA,28022,BOADILLA DEL MONTE,188,022,188
2019-07,131,SUECIA,28022,BOADILLA DEL MONTE,64,022,64
2019-07,132,SUIZA,28022,BOADILLA DEL MONTE,30,022,30
2019-07,302,EE.UU.,28022,BOADILLA DEL MONTE,155,022,155
2019-07,340,ARGENTINA,28022,BOADILLA DEL MONTE,58,022,58
2019-07,343,COLOMBIA,28022,BOADILLA DEL MONTE,30,022,30
2019-07,407,CHINA,28022,BOADILLA DEL MONTE,78,022,78
2019-07,000,TOTAL,28023,"BOALO, EL",258,023,258
2019-07,010,TOTAL EUROPA,28023,"BOALO, EL",203,023,203
2019-07,011,TOTAL UNIÓN EUROPEA,28023,"BOALO, EL",173,023,173
2019-07,030,TOTAL AMÉRICA,28023,"BOALO, EL",46,023,46
2019-07,110,FRANCIA,28023,"BOALO, EL",57,023,57
2019-07,126,ALEMANIA,28023,"BOALO, EL",35,023,35
2019-07,000,TOTAL,28025,BREA DE TAJO,88,025,88
2019-07,010,TOTAL EUROPA,28025,BREA DE TAJO,71,025,71
2019-07,011,TOTAL UNIÓN EUROPEA,28025,BREA DE TAJO,57,025,57
2019-07,000,TOTAL,28026,BRUNETE,326,026,326
2019-07,010,TOTAL EUROPA,28026,BRUNETE,270,026,270
2019-07,011,TOTAL UNIÓN EUROPEA,28026,BRUNETE,238,026,238
2019-07,030,TOTAL AMÉRICA,28026,BRUNETE,40,026,40
2019-07,110,FRANCIA,28026,BRUNETE,73,026,73
2019-07,121,PAÍSES BAJOS,28026,BRUNETE,57,026,57
2019-07,000,TOTAL,28027,BUITRAGO DEL LOZOYA,466,027,466
2019-07,010,TOTAL EUROPA,28027,BUITRAGO DEL LOZOYA,436,027,436
2019-07,011,TOTAL UNIÓN EUROPEA,28027,BUITRAGO DEL LOZOYA,406,027,406
2019-07,103,BÉLGICA,28027,BUITRAGO DEL LOZOYA,31,027,31
2019-07,110,FRANCIA,28027,BUITRAGO DEL LOZOYA,274,027,274
2019-07,121,PAÍSES BAJOS,28027,BUITRAGO DEL LOZOYA,58,027,58
2019-07,000,TOTAL,28028,BUSTARVIEJO,143,028,143
2019-07,010,TOTAL EUROPA,28028,BUSTARVIEJO,96,028,96
2019-07,011,TOTAL UNIÓN EUROPEA,28028,BUSTARVIEJO,91,028,91
2019-07,110,FRANCIA,28028,BUSTARVIEJO,33,028,33
2019-07,000,TOTAL,28029,CABANILLAS DE LA SIERRA,55,029,55
2019-07,010,TOTAL EUROPA,28029,CABANILLAS DE LA SIERRA,50,029,50
2019-07,011,TOTAL UNIÓN EUROPEA,28029,CABANILLAS DE LA SIERRA,42,029,42
2019-07,000,TOTAL,28030,"CABRERA, LA",455,030,455
2019-07,010,TOTAL EUROPA,28030,"CABRERA, LA",410,030,410
2019-07,011,TOTAL UNIÓN EUROPEA,28030,"CABRERA, LA",340,030,340
