GEOCODIGO,DESBDT,capacidad_zona,prop_riesgo,tasa_riesgo,tasa_mayores,poblacion_mayores,nombre_zona,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,area,densidad_hab_km
205,Pilar,10125,0.3473602832381696,0.01844436643102023,0.01637876227421727,0.315830967853099,Pilar,38,48.82935047260375,40626,0.5393345099197558,0.4606654900802442,0.10431561807709348,0.5798575025845517,0.315830967853099,0.09101839462413232,0.16046121695465956,0.05172257913651356,0.04392875498449269,0.5154373110815734,0.09633671294245064,0.45027892728794366,0.49934816619898587,2179910.82198329,18636.542188014064
206,Pinto,4375,0.18046674058810463,0.01793294216720985,0.04350554325789105,0.16416321898523242,Pinto,10,42.037135643279896,17403,0.5126668677814169,0.487333132218583,0.15065869677641786,0.6851650520025283,0.16416321898523242,0.11968797908406598,0.17007075791530196,0.05597206228811124,0.04019388611158996,0.30088146296615526,0.14892512785151987,0.5189136815491582,0.6084035913348274,32003773.9642512,543.7796185987149
207,Pintores,6002,0.1739820867312546,0.00834546099658616,0.04446531375699958,0.15823098479786166,Pintores,14,40.339004113765455,23944,0.5029673738723688,0.4970326261276311,0.17260902522552624,0.6691512863347812,0.15823098479786166,0.26890964751085866,0.33565719178082193,0.03540277731373204,0.02277703808887403,0.17334489224858002,0.18737706732375545,0.4646283954226528,0.5696137988640161,4373695.71695827,5474.546367540193
208,Pizarro,4093,0.29382952977361215,-0.00142617767646233,0.01833296720515723,0.26695729077841396,Pizarro,15,46.445068430990375,16418,0.5287385369716164,0.47126146302838345,0.12661124984772812,0.6064076927762212,0.26695729077841396,0.14965832622731148,0.2069860518942624,0.03729024850773541,0.02570703496162748,0.2149469911073212,0.1518114203922524,0.4400853879887928,0.5189479656474602,480689.427171616,34155.10945727216
209,Portazgo,4450,0.26957332099989373,0.02248830794917082,0.00956332560938112,0.24460982584269664,Portazgo,15,46.07674121910112,17800,0.5292046123595505,0.4707953876404494,0.1284803651685393,0.6269097696629213,0.24460982584269664,0.12684812921348315,0.21291636516853937,0.03363991573033707,0.02279507865168539,0.21922260674157304,0.17912994943820226,0.43125247191011234,0.5261092752808989,1165705.1407606,15269.727633169608
210,Potosí,7228,0.2612952018860597,0.01333533083382746,2.706506592532708e-4,0.23806612116389303,Potosí,18,44.90337235927066,28903,0.5526718229941529,0.4473281770058471,0.15503194478081858,0.6068923156765734,0.23806612116389303,0.08265643012836037,0.14625193924506108,0.06054598138601529,0.05697496107670484,0.6799736394145937,0.07197837248728506,0.5120775940213819,0.551816769885479,1753252.04418538,16485.365065368744
211,Pozo de Tío Raimundo,1792,0.22033640611696875,0.0127066366798185,0.02514671633438029,0.20014881780250343,Pozo de Tío Raimundo,7,43.6424133379694,7190,0.5197424339360223,0.48025756606397774,0.1392328511821975,0.6606395688456189,0.20014881780250343,0.1229365090403338,0.17982297635605007,0.03061431154381084,0.01948440890125174,0.1304157997218359,0.2368767037552156,0.40169095966620305,0.5261681223922114,462894.831224422,15532.68586080652
212,Pozuelo - Estación,11875,0.17898942657389436,0.00993300238427045,0.00909426416265142,0.1625404100972828,Pozuelo - Estación,26,40.46161131541429,47696,0.5261477335625628,0.4738522664374371,0.18655337554511908,0.6509155337973834,0.1625404100972828,0.07026809376048306,0.12277563946662194,0.09862551157329756,0.09147790590405903,0.6634056273062731,0.06845977440456223,0.5361152612378397,0.5753933830929219,5393874.59839859,8842.62307732565
213,Pozuelo - Somosaguas,5786,0.1739404535931554,0.01255054211476463,0.04284659325544363,0.1577387032891338,Pozuelo - Somosaguas,12,40.52578193128983,23228,0.5101607499569485,0.4898392500430515,0.18084791630790428,0.6614011623902187,0.1577387032891338,0.0755062553814362,0.13198256414671947,0.10077049681418976,0.09550708627518512,0.6620343292577923,0.05272596004821767,0.5324941794386086,0.5616081195109351,18097439.4843328,1283.496486898536
214,Presentación Sabio,5531,0.26891681778947235,0.00917812084115166,0.0111438242734204,0.24438810245734713,Presentación Sabio,16,45.027878960944925,22097,0.5180671765398018,0.4819328234601982,0.1326451599764674,0.6229825903968864,0.24438810245734713,0.09647969407611892,0.14549052360048875,0.05503618590758927,0.04160783364257591,0.36313291849572343,0.12192777300085986,0.4733735303434855,0.5385561931483911,6460715.70541474,3420.209309238054
215,Prosperidad,14238,0.27158897693497996,0.01210347321627256,0.02111106429745721,0.2458010489755824,Prosperidad,42,46.05942885033679,57008,0.5517160644120124,0.4482839355879876,0.11829651101599777,0.6358928448638788,0.2458010489755824,0.1047604283609318,0.17907531925343811,0.06049258349705305,0.05364030136121246,0.625528392506315,0.09792383174291326,0.5058645137524558,0.5610422396856581,1798629.53157006,31695.242961031876
216,Puerta Bonita,3764,0.19062998982081847,0.00799876628011178,0.05810276680710666,0.17307841415552452,Puerta Bonita,11,42.34722600279385,15033,0.5334074635801237,0.4665925364198763,0.1347052551054347,0.6922038980908668,0.17307841415552452,0.2936277722344176,0.4436150003326016,0.03813347967804164,0.02666660014634471,0.2323282644848001,0.16496044701656357,0.4576743098516596,0.5487201689616178,774271.573195315,19415.668249269213
217,Puerta de Madrid,11281,0.2026309005697134,0.00314896061226269,0.00891090002056746,0.18469502868068832,Puerta de Madrid,31,42.71622973009026,44978,0.5119626350660323,0.4880373649339677,0.14533961047623284,0.6699722086353328,0.18469502868068832,0.17348306950064477,0.20452072346480504,0.05899516207923874,0.04765429765663213,0.23845290364178043,0.18708219351683045,0.4644654097558807,0.568838034150029,4334139.79737809,10377.607115305593
218,Puerta del Ángel,4405,0.22187339121433308,0.01493919133727439,0.02307566624421454,0.20150246836520455,Puerta del Ángel,15,44.55602541565,17623,0.5378739034216649,0.46212609657833514,0.11745660784202464,0.681029784940135,0.20150246836520455,0.2032076207229189,0.3135218577994666,0.05231631958236395,0.04009599954604778,0.3479319014923679,0.16055269817851672,0.47461436758781145,0.5652556318447484,559310.819412157,31508.41962707248
219,Quinta de los Molinos,2481,0.24334049030361127,0.01759872512749772,0.00893105527774837,0.2209548823588811,Quinta de los Molinos,7,46.085833232353835,9903,0.5288151671210745,0.4711848328789256,0.11106268807432092,0.6679712511360194,0.2209548823588811,0.0791678784206806,0.13440517015045947,0.0848362011511663,0.07463941229930324,0.5640350701807533,0.09919062910229225,0.4799379682924367,0.5323890942138746,1881976.14780142,5262.0220567455
220,Rafael Alberti,5369,0.1796037674426723,0.00845629715387193,0.0234765364882196,0.16364486757270744,Rafael Alberti,17,41.844930117352384,21559,0.5239981075189016,0.4760018924810984,0.14951001901757968,0.6868631105338837,0.16364486757270744,0.17138826476181643,0.27237165452943085,0.04214901433276126,0.02987584303539125,0.2584364348995779,0.15994149543114244,0.5069298854306785,0.5982031170276915,1271018.7357751,16961.984424920982
221,Ramón y Cajal,4940,0.3600528004509777,0.00373355122196154,0.01126735464937956,0.3278608398684543,Ramón y Cajal,17,48.80161752592967,19765,0.5287128965342778,0.4712871034657223,0.1227311459650898,0.5493958866683532,0.3278608398684543,0.14045430306096637,0.19990323804705287,0.04059244624335947,0.03027237035163167,0.3375265165696939,0.14429657981280042,0.39780259043764227,0.4660207892739692,459459.155916293,43017.969596411545
