GEOCODIGO,ano,semana,n_vacunas,lower,upper,dato,campana,tuits_gripe,interes_gripe
003,2022,46,279.35617184580497,37.028967374455,521.683376317155,Predicción,NA,NA,NA
003,2022,47,253.72351235272004,-16.7556654694411,524.202690174881,Predicción,NA,NA,NA
003,2022,48,233.31764758433633,-53.5764511146598,520.211746283332,Predicción,NA,NA,NA
003,2022,49,217.0727738497986,-79.7548130437919,513.900360743389,Predicción,NA,NA,NA
003,2022,50,204.14041711577053,-98.8140140025992,507.09484823414,Predicción,NA,NA,NA
003,2022,51,193.8451169842229,-112.928901882466,500.619135850912,Predicción,NA,NA,NA
003,2022,52,185.64914721795807,-123.521132999834,494.81942743575,Predicción,NA,NA,NA
003,2023,1,179.12443015762807,-131.554928943337,489.803789258593,Predicción,NA,NA,NA
003,2023,2,173.93017811284983,-137.701786878699,485.562143104398,Predicción,NA,NA,NA
003,2023,3,169.79509393138832,-142.439086961868,482.029274824645,Predicción,NA,NA,NA
003,2023,4,166.50320107744741,-146.112037689024,479.118439843919,Predicción,NA,NA,NA
003,2023,5,163.88256312032678,-148.973933407019,476.739059647672,Predicción,NA,NA,NA
003,2023,6,161.79630344936584,-151.212995569644,474.805602468375,Predicción,NA,NA,NA
003,2023,7,160.13545617252177,-152.970643867931,473.241556212974,Predicción,NA,NA,NA
003,2023,8,158.81327479913125,-154.354158062066,471.980707660328,Predicción,NA,NA,NA
003,2023,9,157.760701447858,-155.445595291305,470.966998187021,Predicción,NA,NA,NA
003,2023,10,156.9227599353637,-156.308164556614,470.153684427341,Predicción,NA,NA,NA
003,2023,11,156.25568435577406,-156.990847141034,469.502215852582,Predicción,NA,NA,NA
003,2023,12,155.72463317588893,-157.531788964709,468.981055316486,Predicción,NA,NA,NA
003,2023,13,155.30186945272743,-157.960820789532,468.564559694987,Predicción,NA,NA,NA
003,2023,14,154.9653121256916,-158.301350504052,468.231974755435,Predicción,NA,NA,NA
004,2022,45,211.04464972790518,66.5313469655717,355.557952490239,Predicción,NA,NA,NA
004,2022,46,186.0224278750212,4.57328645904556,367.471569290997,Predicción,NA,NA,NA
004,2022,47,167.0236437235716,-32.6377817870041,366.685069234147,Predicción,NA,NA,NA
004,2022,48,152.59831405638343,-56.8440775122573,362.040705625024,Predicción,NA,NA,NA
004,2022,49,141.64550074221236,-73.2334025940173,356.524404078442,Predicción,NA,NA,NA
004,2022,50,133.3292873687355,-84.6221544843864,351.280729221857,Predicción,NA,NA,NA
004,2022,51,127.01498227748414,-92.6882547985946,346.718219353563,Predicción,NA,NA,NA
004,2022,52,122.22067902973892,-98.4861508826346,342.927508942112,Predicción,NA,NA,NA
004,2023,1,118.58047740831469,-102.702856156005,339.863810972634,Predicción,NA,NA,NA
004,2023,2,115.8165579898149,-105.798448858368,337.431564837998,Predicción,NA,NA,NA
004,2023,3,113.71797902457304,-108.088012342528,335.523970391674,Predicción,NA,NA,NA
004,2023,4,112.12457740661051,-109.791441987319,334.04059680054,Predicción,NA,NA,NA
004,2023,5,110.9147450590186,-111.064680791676,332.894170909713,Predicción,NA,NA,NA
004,2023,6,109.99614783106335,-112.019823660522,332.012119322648,Predicción,NA,NA,NA
004,2023,7,109.29867857518948,-112.73835877234,331.335715922719,Predicción,NA,NA,NA
004,2023,8,108.76910658423968,-113.280074336861,330.81828750534,Predicción,NA,NA,NA
004,2023,9,108.3670150350614,-113.689166363529,330.423196433652,Predicción,NA,NA,NA
004,2023,10,108.06171638505043,-113.998500693776,330.121933463877,Predicción,NA,NA,NA
004,2023,11,107.82991030534298,-114.232633312838,329.892453923523,Predicción,NA,NA,NA
004,2023,12,107.65390540460919,-114.409979454178,329.717790263396,Predicción,NA,NA,NA
004,2023,13,107.52026902578167,-114.544389055539,329.584927107102,Predicción,NA,NA,NA
004,2023,14,107.41880206848855,-114.64630177498,329.483905911957,Predicción,NA,NA,NA
005,2022,45,292.1043185029085,114.670316963239,469.538320042578,Predicción,NA,NA,NA
005,2022,46,260.5966706043938,34.5018589619345,486.691482246853,Predicción,NA,NA,NA
005,2022,47,235.71347927028532,-16.0125359630034,487.439494503574,Predicción,NA,NA,NA
005,2022,48,216.06195805980997,-50.4049170059813,482.528833125601,Predicción,NA,NA,NA
005,2022,49,200.54215271408628,-74.7192586287028,475.803564056875,Predicción,NA,NA,NA
005,2022,50,188.28537343530152,-92.3217133307431,468.892460201346,Predicción,NA,NA,NA
005,2022,51,178.6055717275925,-105.284681777681,462.495825232865,Predicción,NA,NA,NA
005,2022,52,170.96094021638064,-114.95795621776,456.879836650521,Predicción,NA,NA,NA
005,2023,1,164.92358607350897,-122.253331633025,452.100503780043,Predicción,NA,NA,NA
005,2023,2,160.1555805793277,-127.803190105443,448.114351264099,Predicción,NA,NA,NA
005,2023,3,156.3900442442785,-132.055300027867,444.835388516424,Predicción,NA,NA,NA
005,2023,4,153.41620876781363,-135.332199379676,442.164616915303,Predicción,NA,NA,NA
005,2023,5,151.06761970793264,-137.869650352429,440.004889768294,Predicción,NA,NA,NA
005,2023,6,149.2128195295617,-139.842182428397,438.26782148752,Predicción,NA,NA,NA
005,2023,7,147.7479895342031,-141.380418285379,436.876397353785,Predicción,NA,NA,NA
005,2023,8,146.5911388177087,-142.583043271172,435.765320906589,Predicción,NA,NA,NA
005,2023,9,145.67751499481182,-143.525213129576,434.880243119199,Predicción,NA,NA,NA
