id,intensidad,ocupacion,carga,vmed,tipo_elem_estacion,distrito,id_punto,cod_cent,nombre,Long,Lat
4035,517,4.0,24,0.0,URB,2.0,4688,90003,Po IMPERIAL S-NCALLE NUEVA - PL.FRANCISCO MORANO),-3.7156996749268,40.4036289032835
4292,700,30.0,56,0.0,URB,2.0,3506,97074,PºAcacias N-S - Pl.Ortega y Munilla-Gta.Pirámides,-3.71248755692379,40.4016833744831
4048,941,6.0,25,0.0,URB,1.0,3478,90017,(AFOROS)GRAN VIA DE SAN FRANCISCO N-S(AGUILA-PUERTA TOLEDO),-3.71253068587341,40.4078492126949
4580,45,24.0,26,0.0,M30,11.0,6778,PM31451,PM31451,-3.71014022154708,40.3907627228456
4165,285,2.0,16,0.0,URB,17.0,10014,94024,VALLE TOBALINA N-S (ACEBEDA - BASCUÑUELOS),-3.71542446782492,40.3382274893933
3862,388,1.0,7,0.0,URB,11.0,5282,85008,ANTONIO LEYVA S-N ( JACINTO VERDAGUER - MARQUES DE VADILLO),-3.71515632667139,40.3962789819833
4262,268,6.0,14,0.0,URB,9.0,5773,97022,(AFOROS)Av.Reina Victoria E-O   - Gral. Ibáñez Íbero - Estudiantes,-3.71076498824624,40.446848086409
4320,148,1.0,6,0.0,URB,9.0,5782,97403,Dr. Teófilo Hernando N-S - Juán Montalvo - Reina Victoria,-3.71488201853214,40.4461050935281
4148,47,2.0,6,0.0,URB,17.0,5389,94007,RESINA E-O(SAN ERASMO-AV. REAL PINTO),-3.71031295280089,40.3358307308766
4064,86,2.0,18,0.0,URB,1.0,4710,90036,PLAZA DE LA CEBADA O-E(HUMILLADERO-TOLEDO),-3.70966775027461,40.411354557865
3870,449,3.0,17,0.0,URB,11.0,5290,85016,ANTONIO LÓPEZ O-E (ESTEBAN ARTEAGA-MARQUES JURA REAL),-3.70933955864442,40.3946918092327
4145,138,2.0,8,0.0,URB,17.0,10932,94004,AV. REAL PINTO Ø59 S-N(RESINA - SAN CESAREO),-3.710183211883,40.3375522765926
4067,208,4.0,24,0.0,URB,1.0,4713,90039,SEGOVIA E-O(CUCHILLEROS-SAN JUSTO),-3.71262394126278,40.4138746578795
4147,160,2.0,9,0.0,URB,17.0,5388,94006,AV. REAL PINTO S-N(LAGUNA MARQUESADO-RESINA),-3.71220157303156,40.3346711183173
4270,244,24.0,37,0.0,URB,7.0,5778,97030,Gral. Ibáñez Íbero S-N  - Francisco Sales - Reina Victoria,-3.71043940240507,40.4460135930661
3867,354,2.0,12,0.0,URB,11.0,5287,85013,ANTONIO LÓPEZ E-O (BALEARES-MARQUES DE VADILLO),-3.71421806784504,40.3970784017141
