ano,semana,site,benzene,co,no,no2,nox,o3,pm10,pm2.5,so2,site_name,X,Y
2021,35,es1838a,NA,NA,1.4873949579831933,9.983333333333333,12.647058823529411,75.31666666666666,NA,9.38655462184874,NA,ALGETE,-3.5033,40.5997
2021,35,es1869a,NA,NA,7.6752136752136755,30.31896551724138,41.974137931034484,55.62931034482759,19.69747899159664,12.882352941176471,NA,COSLADA,-3.5424,40.4306
2021,35,es1890a,NA,NA,3.75,26.369747899159663,32.175,61.53333333333333,NA,9.266666666666667,NA,ALCORC�N,-3.8337,40.3419
2021,35,es1937a,NA,NA,8.566666666666666,27.3,40.35,NA,28.25,15.025,NA,MENDEZ ALVARO,-3.68666666,40.39805555
2021,35,es1938a,NA,NA,2.1416666666666666,28.15,31.341666666666665,NA,27.541666666666668,23.283333333333335,NA,CASTELLANA,-3.69027777,40.43972222
2021,35,es1939a,NA,NA,1.925,20.008333333333333,22.891666666666666,57.47075,NA,NA,NA,RETIRO,-3.68555555,40.40972222
2021,35,es1940a,NA,NA,4.091666666666667,31.758333333333333,38.05833333333333,NA,18.3,14.475,NA,PLAZA CASTILLA-CANAL,-3.68833333,40.46583333
2021,35,es1941a,NA,NA,6.233333333333333,29.208333333333332,38.78333333333333,42.13575,NA,NA,NA,ENSANCHE DE VALLECAS,-3.61194444,40.37277777
2021,35,es1942a,0.3153846153846154,NA,5.358333333333333,35.9,44.18333333333333,NA,27.558333333333334,NA,NA,URBANIZACION EMBAJADA,-3.58055555,40.4625
2021,35,es1943a,NA,0.2652542372881356,15.708333333333334,47.8,71.91666666666667,NA,17,12.416666666666666,NA,PLAZA ELÍPTICA,-3.7186,40.3847
2021,35,es1944a,NA,NA,4.55,27.075,34.06666666666667,NA,16.133333333333333,NA,NA,SANCHINARRO,-3.66027777,40.49416666
2021,35,es1945a,NA,NA,2.025,17.866666666666667,20.991666666666667,56.254396551724135,NA,NA,NA,EL PARDO,-3.77444444,40.51805555
2021,35,es1946a,NA,NA,2.066666666666667,21.575,24.8,58.8685,NA,NA,NA,JUAN CARLOS I,-3.60888888,40.465
2021,35,es1947a,NA,NA,1.9916666666666667,27.983333333333334,31.091666666666665,69.20466666666667,11.216666666666667,NA,NA,TRES OLIVOS,-3.68972222,40.50055555
2021,35,es2028a,NA,NA,5.165217391304348,31.23931623931624,39.13913043478261,57.24576271186441,17.137931034482758,11.427350427350428,NA,GETAFE,-3.716868,40.314518
2021,35,es2093a,NA,NA,1.0265486725663717,2.9911504424778763,5,99.5909090909091,8.869565217391305,5.526315789473684,NA,PUERTO DE COTOS,-3.9612,40.8251
2021,36,es0115a,NA,0.24311377245508983,6.910179640718563,14.538922155688622,25.197604790419163,NA,NA,NA,9.784431137724551,PLAZA DE ESPAÑA,-3.71222222,40.42416666
2021,36,es0118a,0.16407185628742516,0.20628930817610064,5.903030303030303,34.78181818181818,43.81818181818182,49.51230303030303,16.077844311377245,8.353293413173652,6.133333333333334,ESCUELAS AGUIRRE,-3.68222222,40.42166666
2021,36,es0120a,0.20535714285714285,NA,5.658682634730539,28.24550898203593,36.94011976047904,NA,NA,NA,NA,RAMÓN Y CAJAL,-3.67722222,40.45166666
2021,36,es0124a,NA,NA,4.246987951807229,23.698795180722893,30.234939759036145,59.54710843373494,NA,NA,NA,ARTURO SORIA,-3.63916666,40.44
2021,36,es0125a,NA,NA,8.279761904761905,31.916666666666668,44.57738095238095,49.78730538922156,NA,NA,NA,VILLAVERDE,-3.705,40.34694444
2021,36,es0126a,0.1634730538922156,NA,4.8982035928143715,24.227544910179642,31.778443113772454,47.836706586826345,16.119760479041915,NA,NA,FAROLILLO,-3.73194444,40.39472222
2021,36,es1193a,0.13988095238095238,NA,1.7604790419161678,14.808383233532934,17.449101796407184,56.65271084337349,14.351190476190476,6.321428571428571,NA,CASA DE CAMPO,-3.74916666,40.42
2021,36,es1422a,NA,0.23832335329341317,4.047904191616767,24.820359281437124,31.12574850299401,53.64696428571428,NA,NA,8.155688622754491,PLAZA DEL CARMEN,-3.70333333,40.41916666
2021,36,es1426a,NA,NA,4.466666666666667,27.363636363636363,34.163636363636364,NA,17.581818181818182,NA,6.006024096385542,MORATALAZ,-3.64527777,40.40805555
2021,36,es1521a,NA,NA,5.335329341317365,26,34.18562874251497,54.47817610062893,NA,NA,NA,BARRIO DEL PILAR,-3.71138888,40.47833333
2021,36,es1525a,0.10119760479041917,NA,6.119047619047619,24.601190476190474,33.976190476190474,NA,12.522292993630574,7.222929936305732,NA,CUATRO CAMINOS-PABLO IGLESIAS,-3.70638888,40.44527777
2021,36,es1532a,NA,NA,4.410958904109589,25.73972602739726,32.50684931506849,NA,11.2,NA,NA,PUENTE DE VALLECAS,-3.65138888,40.38805555
2021,36,es1563a,NA,0.5757575757575757,4.283132530120482,23.13855421686747,29.903614457831324,54.71686746987952,17.61904761904762,6.946428571428571,3.4,ALCAL� DE HENARES,-3.377949,40.479328
2021,36,es1564a,0.18273809523809526,NA,2.5240963855421685,19.674698795180724,23.766467065868262,58.981818181818184,23.44578313253012,NA,NA,ALCOBENDAS,-3.645253,40.540351
2021,36,es1565a,0.1906832298136646,NA,4.371951219512195,19.408536585365855,26.23780487804878,63.7037037037037,18.017857142857142,NA,NA,FUENLABRADA,-3.800946,40.281505
