id_inf,grupo,tipo,nombre,CODMUN,DIRECCION,info,CMUN,CDIS,dist_aeropuerto,dist_intercambiador,dist_cercanias,dist_hospital,dist_universidad,dist_gob,dist_embajada,dist_ccomercial,X,Y
47,Transporte,Estaciones de Cercanías,Alcalá de Henares Universidad,005,005,"Líneas: C-2, C-8",005,04,9.959528911271288,20.439882916202755,0,1.1690516397493844,0.7489695702904992,0.34759700805069266,0.0906100305839305,0.9409273209940218,-3.3353587144515564,40.505362681621946
48,Transporte,Estaciones de Cercanías,Villaverde Bajo,079,079,"Líneas: C-3, C-3a, C-4",079,17,7.926543929044303,0.06197521763640309,0,2.892639163558189,0.5114111816697657,0.7990812664499422,0.8472341628533168,0.7874248408121642,-3.684120230683013,40.35266179725243
49,Transporte,Estaciones de Cercanías,San Cristóbal de Los Ángeles,079,079,"Líneas: C-3, C-3a",079,17,8.299253116681333,1.2018473785842985,0,3.9588476922847753,1.2980835743583563,0.3105842587253537,0.4563777565328684,0.19198232005325416,-3.683945650899192,40.342374374465734
50,Transporte,Estaciones de Cercanías,San Cristóbal Industrial,079,079,"Líneas: C-3, C-3a",079,17,7.704589071128271,2.2136935963533855,0,4.249731121094388,0.7222920229579078,0.2360972934960455,0.10214029724034288,0.273983056546316,-3.699248144462149,40.33175115982273
51,Transporte,Estaciones de Cercanías,Getafe Industrial,065,065,"Líneas: C-3, C-3a",065,04,9.185942370010553,5.219912145762147,0,3.0623608553215345,0.3494157035556778,0.2745615144721531,0.3126107779860359,0.8068378278535556,-3.70764991082916,40.305483315108575
52,Transporte,Estaciones de Cercanías,Pinto,113,113,"Líneas: C-3, C-3a",113,01,15.416757594319964,12.070986230653713,0,4.912346278959762,0.48507414034382,0.6696106256049463,0.5224648375353225,0.9739744592336248,-3.703610506982456,40.24276745233619
53,Transporte,Estaciones de Cercanías,Valdemoro,161,161,"Líneas: C-3, C-3a",161,01,21.528068814574453,17.410438381217304,0,2.7911383175765536,0.9717254019732726,0.11297956195755451,0.00907050607950299,0.37573163705689777,-3.664813166684651,40.19585986462869
54,Transporte,Estaciones de Cercanías,Ciempozuelos,040,040,"Líneas: C-3, C-3a",040,01,27.33264402422717,22.45866550437935,0,0.10217105133079868,0.4070948350660584,0.27647127626303414,0.03159329507666304,0.5517064028756616,-3.610134323149784,40.15906910780112
55,Transporte,Estaciones de Cercanías,Aranjuez,013,013,"Líneas: C-3, C-3a",013,04,39.60246677473116,35.71568822364984,0,2.5726767690494854,0.6301847872481786,0.0838368990233841,0.05149857271121082,0.37021367940271827,-3.618308873606795,40.034846961922085
56,Transporte,Estaciones de Cercanías,Villaverde Alto,079,079,"Líneas: C-4, C-5",079,17,6.161362125707763,1.9765144993731951,0,3.986576187841533,1.1733776645674765,0.42597513031140327,0.07914616427308405,0.1221658140188699,-3.712479184755076,40.3417426637329
