Shisha-Tetería Babilonia,2304,pub,"[-3.7010845, 40.4093334]"
El 15,2304,pub,"[-3.6993951, 40.4105463]"
El Aperitivo del Corazón,2301,restaurant,"[-3.6995223, 40.4106867]"
El Despertar,2303,cafe,"[-3.6994987, 40.4107804]"
El Colmo,2303,cafe,"[-3.6996972, 40.4115173]"
F.M.,2304,pub,"[-3.6995961, 40.4115848]"
O'Barquiño,2301,restaurant,"[-3.6994308, 40.4114924]"
La Temeraria,2301,restaurant,"[-3.700322, 40.4117492]"
El Dinosaurio,2301,restaurant,"[-3.700364, 40.4116655]"
Bodegas Alfaro,2304,pub,"[-3.7003917, 40.4115875]"
Ginos,2301,restaurant,"[-3.6226906, 40.455063]"
Wok,2301,restaurant,"[-3.622496, 40.4550377]"
Vips,2301,restaurant,"[-3.6222587, 40.4549871]"
Como Como Slow Food,2301,restaurant,"[-3.6226101, 40.4367886]"
Los Reyes,2301,restaurant,"[-3.9201748, 40.7175029]"
Asador don Baco,2301,restaurant,"[-3.9203127, 40.7174658]"
La Venta de El Boalo,2301,restaurant,"[-3.9203733, 40.7174281]"
La Venta de Isidro,2301,restaurant,"[-3.920457, 40.7173984]"
Mesón Agustín,2301,restaurant,"[-3.9196009, 40.7174142]"
Restaurante Pico Pico,2301,restaurant,"[-3.6411778, 40.445038]"
Asador Rías Bajas,2301,restaurant,"[-3.6403865, 40.4445989]"
El Racó,2301,restaurant,"[-3.6384083, 40.4424437]"
Happiness,2301,restaurant,"[-3.6383442, 40.4423564]"
Comediante,2301,restaurant,"[-3.5803968, 40.4704992]"
La Escondida,2301,restaurant,"[-3.5839888, 40.4696609]"
La Plaza,2301,restaurant,"[-3.5771564, 40.4739157]"
Siena,2301,restaurant,"[-3.5786174, 40.4723475]"
Miravalles,2301,restaurant,"[-3.5798455, 40.4710865]"
Al Tran Tran,2301,restaurant,"[-3.5821536, 40.47223]"
Al Tran Tran,2304,pub,"[-3.5820559, 40.4723877]"
la estación,2304,pub,"[-3.6395198, 40.4753392]"
Breaking Bar,2304,pub,"[-3.6313812, 40.4709165]"
Bar Restaurante Miño,2304,pub,"[-3.6390134, 40.4763773]"
Jota Cinco,2301,restaurant,"[-3.6373154, 40.4382334]"
Mamma Juana,2301,restaurant,"[-3.6373926, 40.438217]"
Grant's,2301,restaurant,"[-3.6364268, 40.4397488]"
Go,2301,restaurant,"[-3.6370092, 40.4375703]"
Matsuri,2301,restaurant,"[-3.6345377, 40.443889]"
Unus,2301,restaurant,"[-3.6344424, 40.4439935]"
Carlos,2301,restaurant,"[-3.6343156, 40.4440493]"
El Ratito,2301,restaurant,"[-3.6341149, 40.4441386]"
Eu Mundo,2301,restaurant,"[-3.6346069, 40.4445466]"
Casa Tampico,2301,restaurant,"[-3.635335, 40.4448785]"
Tío Antonio,2304,pub,"[-3.7774345, 40.5200567]"
Hermanos Rodríguez,2304,pub,"[-3.7773737, 40.5199058]"
San Francisco,2301,restaurant,"[-3.7812549, 40.5200258]"
La Montaña,2301,restaurant,"[-3.7754372, 40.5187667]"
Mesón del Pardo,2301,restaurant,"[-3.7767025, 40.5194084]"
La Pepa,2301,restaurant,"[-3.6757441, 40.5059026]"
La Vega Experience,2301,restaurant,"[-3.6261189, 40.5338476]"
Uceda,2304,pub,"[-3.7071301, 40.4785496]"
Alfredo's Barbacoa,2301,restaurant,"[-3.6872821, 40.4605707]"
,2301,restaurant,"[-3.6676655, 40.5060565]"
Lima,2304,pub,"[-3.7014682, 40.4823061]"
Lemo's,2304,pub,"[-3.709978, 40.4779466]"
El 22,2304,pub,"[-3.7059131, 40.4743826]"
Petiscos Galegos,2301,restaurant,"[-3.7054024, 40.4740954]"
Altamira,2304,pub,"[-3.7046543, 40.4741694]"
Niko's,2304,pub,"[-3.7031802, 40.4747468]"
San Antonio,2304,pub,"[-3.7071302, 40.4740748]"
Auténtico Sabor Andaluz,2304,pub,"[-3.7070035, 40.4740526]"
Casa Pepe,2304,pub,"[-3.7068819, 40.4763256]"
La Casa de Yu,2301,restaurant,"[-3.7134141, 40.4788109]"
Burger King,2302,fast_food,"[-3.7062308, 40.4787289]"
McDonald's,2302,fast_food,"[-3.7075265, 40.4793976]"
Vips,2301,restaurant,"[-3.7085001, 40.479773]"
TGI Friday's,2301,restaurant,"[-3.7083499, 40.4793935]"
La Carabela,2304,pub,"[-3.7183356, 40.4804692]"
La Nicoletta,2301,restaurant,"[-3.6675001, 40.5090251]"
Pradena,2304,pub,"[-3.7067515, 40.4743767]"
Kobe,2301,restaurant,"[-3.6673737, 40.5100394]"
Kyoto,2301,restaurant,"[-3.8987664, 40.5182775]"
,2301,restaurant,"[-3.6709914, 40.5081627]"
Go! Sushing,2301,restaurant,"[-3.7081487, 40.4033042]"
Spicy Grill & Pizza,2302,fast_food,"[-3.7080248, 40.4193384]"
La Flama,2301,restaurant,"[-3.457506, 40.5426589]"
Barra de Pintxos,2304,pub,"[-3.7059396, 40.5042712]"
D'Mystic,2304,pub,"[-3.6980352, 40.4231999]"
El Buo,2305,bar,"[-3.6982486, 40.4231951]"
San Bruno,2304,pub,"[-3.7076389, 40.4127776]"
La Gamella,2301,restaurant,"[-3.6890563, 40.4189239]"
McDonald's,2302,fast_food,"[-3.8508369, 40.3488029]"
VIPS,2301,restaurant,"[-3.8493533, 40.3487048]"
Asador La Hontanilla,2301,restaurant,"[-3.5281886, 41.06058]"
Ágora,2304,pub,"[-3.9641827, 40.4905384]"
McDonald's,2302,fast_food,"[-3.6783821, 40.5084976]"
,2304,pub,"[-4.0484951, 40.58998]"
El Nautico,2301,restaurant,"[-4.048332, 40.5903124]"
La Frontera,2304,pub,"[-3.9956901, 40.6427765]"
,2301,restaurant,"[-4.1527447, 40.6385755]"
,2303,cafe,"[-4.1531376, 40.6399086]"
Burger King,2302,fast_food,"[-3.5820056, 40.5902284]"
El Rincón de las Tablas,2301,restaurant,"[-3.6755645, 40.4958129]"
Bar-Restaurante La Parada,2301,restaurant,"[-3.5813898, 40.4512504]"
Bar los Arcos,2301,restaurant,"[-3.5815503, 40.4512553]"
Reciclaje,2304,pub,"[-4.092075, 40.673108]"
El Rosario,2301,restaurant,"[-3.6940691, 40.4829998]"
El Escondite Jamonal,2301,restaurant,"[-3.6958009, 40.4833027]"
Goiko Grill,2301,restaurant,"[-3.6384537, 40.5302584]"
El Oso,2301,restaurant,"[-3.6572587, 40.5059739]"
Las Ventas de Diego de Velázquez,2301,restaurant,"[-3.7328316, 40.3167699]"
Ôven,2301,restaurant,"[-3.6748903, 40.5045383]"
La Lola,2301,restaurant,"[-3.6746957, 40.5059631]"
Burger King,2302,fast_food,"[-3.6906699, 40.510059]"
Delina's,2302,fast_food,"[-3.6895046, 40.4266834]"
Sinsombrero,2301,restaurant,"[-3.6894651, 40.4269232]"
Katrina,2303,cafe,"[-4.0499132, 40.7415609]"
,2303,cafe,"[-4.0637637, 40.7700472]"
The Glass Bar,2304,pub,"[-3.5884114, 40.4697004]"
McDonald's,2302,fast_food,"[-3.7041101, 40.4474516]"
Trek Taco,2302,fast_food,"[-3.7011852, 40.4575603]"
Burger King,2302,fast_food,"[-3.7009192, 40.457912]"
McDonald's,2302,fast_food,"[-3.6981353, 40.460783]"
El Barracón,2301,restaurant,"[-3.6855922, 40.504532]"
Vips,2301,restaurant,"[-3.6665137, 40.4968493]"
Ginos,2301,restaurant,"[-3.6663936, 40.4969066]"
