ccaa,CPRO,CMUN,dist,secc,t1_1,t2_1,t2_2,t3_1,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,NSEC,area,elevation,densidad_hab_km2
13,28,005,02,011,1374,0.4985,0.5015,39.5895,0.2001,0.6186,0.1812,0.19,0.2169,0.0255,0.0164,0.0719,0.407,0.3076,0.5187,Alcalá de Henares - 02.011,93077.1028031005,593,14761.954966589592
13,28,005,02,012,1241,0.498,0.502,41.801,0.1773,0.618,0.2047,0.1998,0.2248,0.0362,0.0313,0.1283,0.3493,0.3193,0.4907,Alcalá de Henares - 02.012,65549.7419011191,593,18932.187435185217
13,28,005,02,013,773,0.5058,0.4942,44.7568,0.1397,0.6028,0.2574,0.1371,0.1527,0.0391,0.0301,0.1008,0.3311,0.3038,0.4541,Alcalá de Henares - 02.013,59019.6358536175,593,13097.33597674545
13,28,005,02,014,1027,0.5122,0.4878,43.2814,0.1509,0.6446,0.2045,0.2298,0.258,0.0596,0.0528,0.2259,0.1956,0.4576,0.5688,Alcalá de Henares - 02.014,71923.7646880379,593,14279.007841907463
13,28,005,02,015,755,0.5007,0.4993,46.3603,0.143,0.5775,0.2795,0.1166,0.1536,0.0355,0.0294,0.0943,0.2809,0.3323,0.4621,Alcalá de Henares - 02.015,29407.9774767607,593,25673.30584351239
13,28,005,02,016,1369,0.5077,0.4923,42.5164,0.1359,0.7005,0.1636,0.2075,0.2169,0.049,0.0406,0.1758,0.1807,0.4869,0.5943,Alcalá de Henares - 02.016,22369.6659581787,593,61198.94693820725
13,28,005,02,017,1119,0.5058,0.4942,40.7337,0.143,0.7426,0.1144,0.1984,0.2592,0.0542,0.0396,0.1648,0.2271,0.4578,0.5923,Alcalá de Henares - 02.017,27648.1127469793,593,40472.925231479225
13,28,005,02,018,1710,0.5047,0.4953,44.9725,0.1164,0.6678,0.2158,0.1836,0.2199,0.0682,0.0576,0.2972,0.1614,0.454,0.5414,Alcalá de Henares - 02.018,40001.9802481474,594,42747.88371456171
13,28,005,02,019,2152,0.526,0.474,43.8271,0.1543,0.6343,0.2114,0.2523,0.2686,0.0615,0.0511,0.2214,0.2024,0.433,0.5429,Alcalá de Henares - 02.019,75821.7619514644,594,28382.352831335604
13,28,005,02,020,1877,0.5162,0.4838,43.6702,0.1353,0.6564,0.2083,0.2232,0.2376,0.045,0.0376,0.215,0.1739,0.4683,0.5669,Alcalá de Henares - 02.020,44792.3018283678,593,41904.522058102004
13,28,005,02,021,1674,0.5006,0.4994,41.0454,0.1667,0.6726,0.1607,0.2276,0.2628,0.0688,0.0595,0.2186,0.1981,0.4817,0.6007,Alcalá de Henares - 02.021,65001.9872754857,627,25753.058793501186
13,28,005,02,022,1181,0.5157,0.4843,44.5732,0.1423,0.6461,0.2117,0.1998,0.2151,0.0415,0.0346,0.1589,0.2138,0.4176,0.5311,Alcalá de Henares - 02.022,14356.7181429001,627,82261.13992382331
13,28,005,02,023,1128,0.5115,0.4885,44.2837,0.1445,0.6126,0.2429,0.273,0.305,0.0549,0.0466,0.142,0.2,0.3938,0.4922,Alcalá de Henares - 02.023,19014.8664456526,627,59322.00487571118
13,28,005,02,024,1639,0.5076,0.4924,43.0256,0.1464,0.665,0.1885,0.2166,0.2422,0.04,0.0307,0.1251,0.2248,0.4289,0.5533,Alcalá de Henares - 02.024,25741.4744065266,627,63671.56652007626
13,28,005,02,025,1513,0.5248,0.4752,41.9775,0.156,0.6722,0.1718,0.2346,0.2485,0.0587,0.0446,0.2052,0.1954,0.4675,0.581,Alcalá de Henares - 02.025,33070.5621357485,593,45750.65866099936
13,28,005,02,026,1663,0.5232,0.4768,46.2014,0.1221,0.6236,0.2544,0.2099,0.2526,0.0664,0.0548,0.2911,0.1499,0.4349,0.5116,Alcalá de Henares - 02.026,34546.572023914,593,48137.91651596667
13,28,005,02,027,1584,0.5107,0.4893,41.0492,0.1515,0.6932,0.1553,0.1705,0.2014,0.0461,0.0379,0.1868,0.2392,0.4449,0.5848,Alcalá de Henares - 02.027,8732650.40829046,627,181.38822991198742
13,28,005,02,028,1779,0.5031,0.4969,42.077,0.127,0.7263,0.1467,0.0658,0.0871,0.0876,0.0734,0.3393,0.1177,0.5357,0.6072,Alcalá de Henares - 02.028,127598.190433811,628,13942.203991700217
13,28,005,02,029,1380,0.5065,0.4935,42.5145,0.1007,0.771,0.1283,0.0261,0.0551,0.1168,0.1039,0.4255,0.0915,0.5278,0.581,Alcalá de Henares - 02.029,193727.4533297,628,7123.409595703569
13,28,005,02,030,964,0.4959,0.5041,43.9357,0.1473,0.6494,0.2033,0.1483,0.1857,0.0389,0.0316,0.1837,0.1742,0.4672,0.5657,Alcalá de Henares - 02.030,11980.859502693,627,80461.67303633939
13,28,005,02,031,1754,0.5234,0.4766,43.9692,0.1186,0.7132,0.1682,0.045,0.0713,0.0951,0.0712,0.4301,0.1004,0.533,0.5925,Alcalá de Henares - 02.031,169678.579172659,628,10337.191698282588
13,28,005,02,032,1333,0.5154,0.4846,44.1883,0.1163,0.6894,0.1943,0.1365,0.165,0.056,0.0458,0.2598,0.1667,0.4754,0.5705,Alcalá de Henares - 02.032,28159.4016177861,628,47337.65362251337
13,28,005,02,033,1393,0.5018,0.4982,42.1543,0.1472,0.6927,0.1601,0.1378,0.1694,0.0614,0.0488,0.2887,0.1423,0.5227,0.6094,Alcalá de Henares - 02.033,21147.7271828183,628,65869.96266585847
13,28,005,02,034,1517,0.5194,0.4806,42.4206,0.145,0.6737,0.1813,0.1444,0.1608,0.054,0.0409,0.2683,0.1438,0.5143,0.6006,Alcalá de Henares - 02.034,32221.1265916661,628,47080.91120539427
13,28,005,02,035,1772,0.5192,0.4808,42.3493,0.1524,0.684,0.1637,0.1242,0.1665,0.0599,0.0479,0.2563,0.1623,0.4913,0.5866,Alcalá de Henares - 02.035,22855.0884992573,628,77531.96843046931
13,28,005,02,036,1764,0.5198,0.4802,42.9853,0.1321,0.6848,0.1831,0.1372,0.1548,0.0621,0.0438,0.2626,0.1512,0.4951,0.5833,Alcalá de Henares - 02.036,360861.62884658,628,4888.30027630885
13,28,005,02,037,1057,0.5166,0.4834,42.3983,0.1296,0.7133,0.157,0.1646,0.2025,0.0489,0.038,0.2804,0.1646,0.5076,0.6076,Alcalá de Henares - 02.037,68804.6193577985,628,15362.340637383339
13,28,005,03,001,1599,0.5178,0.4822,43.5078,0.1194,0.6923,0.1882,0.2645,0.2889,0.0696,0.0554,0.2251,0.2,0.446,0.5575,Alcalá de Henares - 03.001,28273.6868936386,594,56554.35055269594
13,28,005,03,002,1229,0.5077,0.4923,45.9854,0.1326,0.5915,0.2758,0.2368,0.2726,0.0535,0.045,0.1979,0.1939,0.394,0.4887,Alcalá de Henares - 03.002,17439.037668089,594,70474.0722160891
