rank_score_spi,score_spi,score_bhn,score_fow,score_opp,score_nbmc,score_ws,score_sh,score_ps,score_abk,score_aic,score_hw,score_eq,score_pr,score_pfc,score_incl,score_aae
NA,59.8400001525879,70.5,53.2400016784668,55.7900009155273,77.9800033569336,73.629997253418,71.5400009155273,58.8600006103516,69.1600036621094,44.5499992370605,53.560001373291,45.689998626709,65.75,60.9199981689453,42.6399993896484,53.8300018310547
164,32.6199989318848,40.7299995422363,25.5599994659424,31.5699996948242,50.3499984741211,49.6100006103516,29.0599994659424,33.9099998474121,27.6700000762939,24.8500003814697,18.2099990844727,31.5,44.3899993896484,30.1499996185303,30.0200004577637,21.7199993133545
164,33.1599998474121,41.8499984741211,25.8999996185303,31.7199993133545,52.2200012207031,51.3400001525879,30.4099998474121,33.4500007629395,27.7399997711182,24.3400001525879,20.2099990844727,31.2999992370605,44.3899993896484,30.5400009155273,29.7099990844727,22.2299995422363
164,34.3499984741211,43.7999992370605,27.7299995422363,31.5100002288818,53.7599983215332,54.2099990844727,32.810001373291,34.4099998474121,27.8600006103516,30.0900001525879,21.8999996185303,31.0799999237061,44.4099998474121,30.75,28.4799995422363,22.3799991607666
163,35.6800003051758,47.189998626709,28.0400009155273,31.8099994659424,54.7599983215332,56.4099998474121,42.7400016784668,34.8400001525879,27.6599998474121,31.2199993133545,23.0900001525879,30.1700000762939,46.1300010681152,31.3199996948242,27.8299999237061,21.9500007629395
163,36.5800018310547,48.5400009155273,28.4699993133545,32.7400016784668,55.0099983215332,56.9500007629395,45.7400016784668,36.4500007629395,28.5900001525879,32.1300010681152,23.1299991607666,30.0200004577637,46.1800003051758,32.7799987792969,28.7299995422363,23.2800006866455
164,37.5699996948242,50.5900001525879,29.3299999237061,32.7900009155273,56.5699996948242,56.5800018310547,52.2700004577637,36.9199981689453,29.4699993133545,33.4599990844727,23.9799995422363,30.4099998474121,46.2599983215332,33.1399993896484,28.7399997711182,23.0200004577637
163,37.8699989318848,49.6399993896484,31.1499996185303,32.8199996948242,58.0699996948242,56.6599998474121,49.1199989318848,34.7200012207031,28.9799995422363,41.5200004577637,23.2399997711182,30.8400001525879,44.1399993896484,33.4700012207031,28.9599990844727,24.7199993133545
162,38.8499984741211,51.3199996948242,31.8299999237061,33.4000015258789,59.6199989318848,56.310001373291,57.7599983215332,31.5799999237061,29.3400001525879,44.3199996948242,23.7600002288818,29.9200000762939,46.560001373291,33.9000015258789,27.7299995422363,25.3899993896484
163,39.2299995422363,50.9700012207031,32.4000015258789,34.310001373291,60.060001373291,55.8199996948242,58.8699989318848,29.1499996185303,31.0100002288818,43.4099998474121,23.6399993896484,31.5200004577637,49.5999984741211,35.3600006103516,26.3600006103516,25.9400005340576
163,39.6100006103516,50.9000015258789,32.6100006103516,35.3199996948242,60.4199981689453,55.5200004577637,58.6300010681152,29.0499992370605,32.1500015258789,42.7000007629395,24.0599994659424,31.5100002288818,51.6800003051758,35.2299995422363,27.3899993896484,26.9599990844727
163,41.1300010681152,52.9700012207031,34.189998626709,36.2299995422363,60.8300018310547,58.8699989318848,59.3199996948242,32.8600006103516,35.0999984741211,46.8699989318848,23.2199993133545,31.5499992370605,54.3300018310547,36.2000007629395,27.3600006103516,27.0400009155273
164,37.3400001525879,53.689998626709,32.5999984741211,25.7299995422363,60.7799987792969,61.7400016784668,59.7599983215332,32.4700012207031,35.4300003051758,40.3899993896484,23.1900005340576,31.3899993896484,26.1100006103516,30.8099994659424,18.1299991607666,27.8500003814697
