GEOCODIGO,campana,ano,semana,n_vacunas,tuits_gripe,interes_gripe
038,NA,2022,35,0,76,22
038,2022,2022,36,0,86,21
038,2022,2022,37,0,64,22
038,2022,2022,38,0,98,32
038,2022,2022,39,0,126,42
038,2022,2022,40,0,112,60
038,2022,2022,41,246,176,77
038,2022,2022,42,224,180,100
038,2022,2022,43,250,270,69
038,2022,2022,44,234,218,77
039,NA,2022,35,0,76,22
039,2022,2022,36,0,86,21
039,2022,2022,37,0,64,22
039,2022,2022,38,0,98,32
039,2022,2022,39,0,126,42
039,2022,2022,40,0,112,60
039,2022,2022,41,210,176,77
039,2022,2022,42,207,180,100
039,2022,2022,43,235,270,69
039,2022,2022,44,219,218,77
040,NA,2022,35,0,76,22
040,2022,2022,36,0,86,21
040,2022,2022,37,0,64,22
040,2022,2022,38,0,98,32
040,2022,2022,39,0,126,42
040,2022,2022,40,0,112,60
040,2022,2022,41,329,176,77
040,2022,2022,42,336,180,100
040,2022,2022,43,331,270,69
040,2022,2022,44,374,218,77
041,NA,2022,35,0,76,22
041,2022,2022,36,0,86,21
041,2022,2022,37,0,64,22
041,2022,2022,38,0,98,32
041,2022,2022,39,0,126,42
041,2022,2022,40,0,112,60
041,2022,2022,41,321,176,77
041,2022,2022,42,335,180,100
041,2022,2022,43,322,270,69
041,2022,2022,44,310,218,77
042,NA,2022,35,0,76,22
042,2022,2022,36,0,86,21
042,2022,2022,37,0,64,22
042,2022,2022,38,0,98,32
042,2022,2022,39,0,126,42
042,2022,2022,40,0,112,60
042,2022,2022,41,320,176,77
042,2022,2022,42,293,180,100
042,2022,2022,43,306,270,69
042,2022,2022,44,351,218,77
043,NA,2022,35,0,76,22
043,2022,2022,36,0,86,21
043,2022,2022,37,0,64,22
043,2022,2022,38,0,98,32
043,2022,2022,39,0,126,42
043,2022,2022,40,0,112,60
043,2022,2022,41,255,176,77
043,2022,2022,42,251,180,100
043,2022,2022,43,286,270,69
043,2022,2022,44,273,218,77
044,NA,2022,35,0,76,22
044,2022,2022,36,0,86,21
044,2022,2022,37,0,64,22
044,2022,2022,38,0,98,32
044,2022,2022,39,0,126,42
044,2022,2022,40,0,112,60
044,2022,2022,41,362,176,77
044,2022,2022,42,358,180,100
044,2022,2022,43,352,270,69
044,2022,2022,44,361,218,77
045,NA,2022,35,0,76,22
045,2022,2022,36,0,86,21
045,2022,2022,37,0,64,22
045,2022,2022,38,0,98,32
045,2022,2022,39,0,126,42
045,2022,2022,40,0,112,60
045,2022,2022,41,134,176,77
045,2022,2022,42,138,180,100
045,2022,2022,43,155,270,69
045,2022,2022,44,151,218,77
046,NA,2022,35,0,76,22
046,2022,2022,36,0,86,21
046,2022,2022,37,0,64,22
046,2022,2022,38,0,98,32
046,2022,2022,39,0,126,42
046,2022,2022,40,0,112,60
046,2022,2022,41,183,176,77
046,2022,2022,42,171,180,100
046,2022,2022,43,173,270,69
046,2022,2022,44,189,218,77
047,NA,2022,35,0,76,22
047,2022,2022,36,0,86,21
047,2022,2022,37,0,64,22
047,2022,2022,38,0,98,32
047,2022,2022,39,0,126,42
047,2022,2022,40,0,112,60
047,2022,2022,41,246,176,77
047,2022,2022,42,275,180,100
047,2022,2022,43,251,270,69
047,2022,2022,44,270,218,77
048,NA,2022,35,0,76,22
048,2022,2022,36,0,86,21
048,2022,2022,37,0,64,22
048,2022,2022,38,0,98,32
048,2022,2022,39,0,126,42
048,2022,2022,40,0,112,60
048,2022,2022,41,218,176,77
048,2022,2022,42,233,180,100
048,2022,2022,43,203,270,69
048,2022,2022,44,223,218,77
049,NA,2022,35,0,76,22
049,2022,2022,36,0,86,21
049,2022,2022,37,0,64,22
049,2022,2022,38,0,98,32
049,2022,2022,39,0,126,42
049,2022,2022,40,0,112,60
049,2022,2022,41,160,176,77
049,2022,2022,42,183,180,100
049,2022,2022,43,177,270,69
049,2022,2022,44,165,218,77
050,NA,2022,35,0,76,22
050,2022,2022,36,0,86,21
050,2022,2022,37,0,64,22
050,2022,2022,38,0,98,32
050,2022,2022,39,0,126,42
050,2022,2022,40,0,112,60
050,2022,2022,41,346,176,77
050,2022,2022,42,366,180,100
050,2022,2022,43,369,270,69
050,2022,2022,44,398,218,77
051,NA,2022,35,0,76,22
051,2022,2022,36,0,86,21
051,2022,2022,37,0,64,22
