mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto,Target
2019-07,031,TOTAL AMÉRICA DEL NORTE,28007,ALCORCÓN,228,007,86.78,86.78
2019-07,033,TOTAL SUDAMÉRICA,28007,ALCORCÓN,176,007,86.78,86.78
2019-07,040,TOTAL ASIA,28007,ALCORCÓN,205,007,86.78,86.78
2019-07,102,AUSTRIA,28007,ALCORCÓN,226,007,92.57,92.57
2019-07,103,BÉLGICA,28007,ALCORCÓN,81,007,85.46,85.46
2019-07,107,DINAMARCA,28007,ALCORCÓN,38,007,78.39,78.39
2019-07,110,FRANCIA,28007,ALCORCÓN,597,007,76.36,76.36
2019-07,113,IRLANDA,28007,ALCORCÓN,43,007,88.95,88.95
2019-07,115,ITALIA,28007,ALCORCÓN,117,007,88.99,88.99
2019-07,117,LUXEMBURGO,28007,ALCORCÓN,89,007,86.78,86.78
2019-07,121,PAÍSES BAJOS,28007,ALCORCÓN,448,007,78.92,78.92
2019-07,122,POLONIA,28007,ALCORCÓN,65,007,60.79,60.79
2019-07,123,PORTUGAL,28007,ALCORCÓN,166,007,93.65,93.65
2019-07,125,REINO UNIDO,28007,ALCORCÓN,236,007,123.22,123.22
2019-07,126,ALEMANIA,28007,ALCORCÓN,208,007,102.04,102.04
2019-07,128,RUMANIA,28007,ALCORCÓN,57,007,109.21,109.21
2019-07,131,SUECIA,28007,ALCORCÓN,116,007,72.9,72.9
2019-07,132,SUIZA,28007,ALCORCÓN,34,007,183.3,183.3
2019-07,135,UCRANIA,28007,ALCORCÓN,122,007,86.78,86.78
2019-07,220,GUINEA ECUATORIAL,28007,ALCORCÓN,43,007,86.78,86.78
2019-07,228,MARRUECOS,28007,ALCORCÓN,99,007,86.78,86.78
2019-07,302,EE.UU.,28007,ALCORCÓN,164,007,119.05,119.05
2019-07,342,BRASIL,28007,ALCORCÓN,30,007,117.09,117.09
2019-07,343,COLOMBIA,28007,ALCORCÓN,52,007,162.67,162.67
2019-07,407,CHINA,28007,ALCORCÓN,94,007,359.08,359.08
2019-07,430,REPUBLICA DE COREA - COREA DEL SUR,28007,ALCORCÓN,35,007,116.04,116.04
2019-07,436,TURQUIA,28007,ALCORCÓN,47,007,91.33,91.33
2019-07,000,TOTAL,28008,ALDEA DEL FRESNO,143,008,86.78,86.78
2019-07,010,TOTAL EUROPA,28008,ALDEA DEL FRESNO,117,008,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28008,ALDEA DEL FRESNO,109,008,86.78,86.78
2019-07,000,TOTAL,28009,ALGETE,1275,009,86.78,86.78
2019-07,010,TOTAL EUROPA,28009,ALGETE,1067,009,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28009,ALGETE,968,009,86.78,86.78
2019-07,020,TOTAL ÁFRICA,28009,ALGETE,47,009,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28009,ALGETE,118,009,86.78,86.78
2019-07,031,TOTAL AMÉRICA DEL NORTE,28009,ALGETE,93,009,86.78,86.78
2019-07,040,TOTAL ASIA,28009,ALGETE,42,009,86.78,86.78
2019-07,102,AUSTRIA,28009,ALGETE,51,009,92.57,92.57
2019-07,103,BÉLGICA,28009,ALGETE,104,009,85.46,85.46
2019-07,110,FRANCIA,28009,ALGETE,238,009,76.36,76.36
2019-07,115,ITALIA,28009,ALGETE,36,009,88.99,88.99
2019-07,121,PAÍSES BAJOS,28009,ALGETE,158,009,78.92,78.92
2019-07,122,POLONIA,28009,ALGETE,64,009,60.79,60.79
2019-07,123,PORTUGAL,28009,ALGETE,30,009,93.65,93.65
2019-07,125,REINO UNIDO,28009,ALGETE,76,009,123.22,123.22
2019-07,126,ALEMANIA,28009,ALGETE,151,009,102.04,102.04
2019-07,131,SUECIA,28009,ALGETE,48,009,72.9,72.9
2019-07,228,MARRUECOS,28009,ALGETE,38,009,86.78,86.78
2019-07,302,EE.UU.,28009,ALGETE,69,009,119.05,119.05
2019-07,407,CHINA,28009,ALGETE,30,009,359.08,359.08
2019-07,000,TOTAL,28010,ALPEDRETE,410,010,86.78,86.78
2019-07,010,TOTAL EUROPA,28010,ALPEDRETE,356,010,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28010,ALPEDRETE,293,010,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28010,ALPEDRETE,40,010,86.78,86.78
2019-07,110,FRANCIA,28010,ALPEDRETE,99,010,76.36,76.36
2019-07,121,PAÍSES BAJOS,28010,ALPEDRETE,51,010,78.92,78.92
2019-07,125,REINO UNIDO,28010,ALPEDRETE,55,010,123.22,123.22
2019-07,126,ALEMANIA,28010,ALPEDRETE,45,010,102.04,102.04
2019-07,000,TOTAL,28011,AMBITE,59,011,86.78,86.78
2019-07,010,TOTAL EUROPA,28011,AMBITE,46,011,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28011,AMBITE,40,011,86.78,86.78
2019-07,000,TOTAL,28012,ANCHUELO,62,012,86.78,86.78
2019-07,010,TOTAL EUROPA,28012,ANCHUELO,54,012,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28012,ANCHUELO,50,012,86.78,86.78
2019-07,000,TOTAL,28013,ARANJUEZ,1734,013,86.78,86.78
2019-07,010,TOTAL EUROPA,28013,ARANJUEZ,1462,013,86.78,86.78
